measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
208319219,7613,152605,zcom.7613,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,95.472,152605 > 38193 > 174 > 9260 > 136730,PK > US,2026-09-05T20:55:10.462425
208319258,7764,17557,ptcl.7764,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,0.949,17557,PK,2026-09-05T20:55:42.920859
208319302,60223,23674,nayatel.60223,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,7,5,44.079,9557 > 136730,PK,2026-09-05T20:56:00.397142
208319346,62224,45773,pern.62224,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,23.682,136730,PK,2026-09-05T20:56:19.987416
208319374,64078,135407,tes.64078,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,27.585,135407 > 174 > 9260 > 136730,PK > US,2026-09-05T20:56:35.764736
208319399,65761,9541,cybernet.65761,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,9,1,25.599,136730,PK,2026-09-05T20:56:57.977993
208319416,65892,23674,nayatel.65892,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,8,5,25.012,9557 > 136730,PK,2026-09-05T20:57:14.063252
208319435,1001359,147302,falcon.1001359,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,14,0,44.684,147302 > 38193 > 174 > 9260 > 136730,PK > US,2026-09-05T20:57:32.304374
208319451,1015679,136174,nova.1015679,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,25.476,6327 > 38193 > 174 > 9260 > 136730,CA > PK > US,2026-09-05T20:58:09.146847
208319459,1016036,9541,cybernet.1016036,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,7,1,24.966,9541 > 136730,PK,2026-09-05T20:58:28.081737
208319468,1016126,17557,ptcl.1016126,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,9,0,26.548,17557 > 9557 > 136730,PK,2026-09-05T20:58:44.831441
208319472,1016143,9541,cybernet.1016143,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,7,0,10.187,136730,PK,2026-09-05T20:59:01.394277
208319477,1016467,23674,nayatel.1016467,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,11,0,24.236,9557 > 136730,PK,2026-09-05T20:59:18.628187
208319485,1017335,138910,AS138910.1017335,Intermarket,Cybernet customer (own ASN),Intermarket.pk,103.94.186.1,136730,"INTERMARKET-AS-AP - INTERMARKET SECURITIES LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,128.593,138910 > 174 > 9260 > 136730,PK > US,2026-09-05T20:59:36.399057
208319495,7613,152605,zcom.7613,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,6,1,93.485,152605 > 38193 > 137258,PK,2026-09-05T20:59:55.651995
208319496,7764,17557,ptcl.7764,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,26.682,17557 > 137258,PK,2026-09-05T21:00:15.617812
208319497,60223,23674,nayatel.60223,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,2,24.023,137258,PK,2026-09-05T21:00:31.385355
208319507,62224,45773,pern.62224,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,22.856,137258,PK,2026-09-05T21:00:52.892554
208319519,64078,135407,tes.64078,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,6,2,25.196,135407 > 137258,PK,2026-09-05T21:01:08.900330
208319532,65761,9541,cybernet.65761,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,0,23.247,137258,PK,2026-09-05T21:01:26.789762
208319547,65892,23674,nayatel.65892,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,3,24.78,137258,PK,2026-09-05T21:01:42.603151
208319558,1001359,147302,falcon.1001359,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,12,0,22.719,147302 > 38193 > 137258,PK,2026-09-05T21:02:00.169670
208319560,1015679,136174,nova.1015679,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,8,0,19.688,6327 > 38193 > 137258,CA > PK,2026-09-05T21:02:18.720187
208319581,1016036,9541,cybernet.1016036,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,7,0,28.597,9541 > 137258,PK,2026-09-05T21:02:34.473739
208319590,1016126,17557,ptcl.1016126,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,8,0,43.346,17557 > 9557 > 137258,PK,2026-09-05T21:02:51.575054
208319636,1016143,9541,cybernet.1016143,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,6,0,6.367,137258,PK,2026-09-05T21:03:07.651059
208319663,1016467,23674,nayatel.1016467,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,8,0,23.013,174 > 137258,US > PK,2026-09-05T21:03:23.373016
208319727,1017335,138910,AS138910.1017335,Shirazi,Cybernet customer (own ASN),Shirazi.pk,103.103.112.1,137258,"SHIRAZI-AS-AP - Shirazi Investments Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,1,18.611,138910 > 137258,PK,2026-09-05T21:03:41.360790
208319763,7613,152605,zcom.7613,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,6,7,94.363,152605 > 38193,PK,2026-09-05T21:03:59.318855
208319807,7764,17557,ptcl.7764,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,1.144,17557,PK,2026-09-05T21:04:18.205541
208319867,60223,23674,nayatel.60223,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,8,6,24.598,,PK,2026-09-05T21:04:33.976164
208319897,62224,45773,pern.62224,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,4.336,,,2026-09-05T21:04:49.827873
208319929,64078,135407,tes.64078,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,5,6,24.357,135407,PK,2026-09-05T21:05:05.924297
208319949,65761,9541,cybernet.65761,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,9,6,21.156,,,2026-09-05T21:05:21.796868
208319971,65892,23674,nayatel.65892,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,9,6,27.429,,PK,2026-09-05T21:05:38.692603
208319999,1001359,147302,falcon.1001359,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,12,6,24.718,147302 > 38193,PK,2026-09-05T21:05:54.395955
208320082,1015679,136174,nova.1015679,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,8,6,27.975,6327 > 38193,CA > PK,2026-09-05T21:06:12.277120
208320149,1016036,9541,cybernet.1016036,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,7,6,28.649,9541,PK,2026-09-05T21:06:28.030495
208320184,1016126,17557,ptcl.1016126,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,8,6,10.159,17557 > 9557,PK,2026-09-05T21:06:43.770289
208320207,1016143,9541,cybernet.1016143,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,6,6,13.755,,PK,2026-09-05T21:07:00.885624
208320232,1016467,23674,nayatel.1016467,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,8,6,25.117,174,US > PK,2026-09-05T21:07:17.189529
208320296,1017335,138910,AS138910.1017335,MTPPL,Cybernet customer (own ASN),MTPPL.pk,103.110.52.1,137481,"MTPPL-AS-AP - M3 Technologies Pakistan Pvt. Ltd, PK",PK,"Karachi, Sindh, PK",server IP,False,9,7,19.713,138910,PK,2026-09-05T21:07:35.212086
208320299,7613,152605,zcom.7613,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,5,0,16.774,152605 > 38193 > 174,PK > US,2026-09-05T21:07:50.982650
208320309,7764,17557,ptcl.7764,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,2.198,17557,PK,2026-09-05T21:08:11.870521
208320318,60223,23674,nayatel.60223,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,9,0,23.13,174,PK > US,2026-09-05T21:08:28.135403
208320322,62224,45773,pern.62224,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,1.244,,,2026-09-05T21:08:43.921452
208320328,64078,135407,tes.64078,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,6,0,23.816,135407 > 174,PK > US,2026-09-05T21:08:59.997354
208320334,65761,9541,cybernet.65761,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,11,0,25.486,174,PK > US,2026-09-05T21:09:18.022084
208320338,65892,23674,nayatel.65892,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,10,0,24.364,174,PK > US,2026-09-05T21:09:35.737887
208320344,1001359,147302,falcon.1001359,K-Electric,Cybernet customer (own ASN),K-Electric.pk,103.125.142.1,138444,"K-ELECTRIC-LIMITED-AS-AP - K-Electric Limited, PK",PK,"Karachi, Sindh, PK",server IP,False,10,1,21.227,147302 > 38193 > 174,PK > US,2026-09-05T21:09:51.810587
