measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
211658177,7613,152605,zcom.7613,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,7,0,30.722,152605 > 38193 > 174 > 9260 > 136427,PK > US,2026-09-15T08:29:28.283990
211658601,7764,17557,ptcl.7764,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,0.765,17557,PK,2026-09-15T08:29:56.447188
211658908,60223,23674,nayatel.60223,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,12,0,45.654,174 > 9260 > 136427,PK > US,2026-09-15T08:30:13.341684
211659276,62224,45773,pern.62224,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,23.295,136427,PK,2026-09-15T08:30:37.929001
211659606,65761,9541,cybernet.65761,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,13,0,40.052,174 > 9260 > 136427,PK > US,2026-09-15T08:30:53.709015
211659980,65892,23674,nayatel.65892,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,12,0,80.946,174 > 9260 > 136427,PK > US,2026-09-15T08:31:18.509963
211660318,1001359,147302,falcon.1001359,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,12,0,38.986,147302 > 38193 > 174 > 9260 > 136427,PK > US,2026-09-15T08:31:38.633899
211660746,1014872,150683,fasttel.1014872,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,9,0,100.531,38193 > 174 > 9260 > 136427,PK > US,2026-09-15T08:32:00.498202
211661122,1015679,136174,nova.1015679,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,8,0,24.334,6327 > 38193 > 174 > 9260 > 136427,CA > PK > US,2026-09-15T08:32:17.993141
211661552,1016036,9541,cybernet.1016036,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,13,0,60.22,9541 > 174 > 9260 > 136427,PK > US,2026-09-15T08:32:37.177821
211661786,1016126,17557,ptcl.1016126,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,15,0,241.708,17557 > 2914 > 6762 > 174 > 9260 > 136427,PK > SG > IT > US,2026-09-15T08:32:53.561630
211661808,1016143,9541,cybernet.1016143,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,10,1,202.827,174 > 9260 > 136427,PK > US,2026-09-15T08:33:24.306019
211662089,1017335,138910,AS138910.1017335,mcb-arif-habib,"Brokerage (Cybernet customer, unconfirmed PTCL int'l detour)",mcb-arif-habib-as136427.pk,103.87.162.1,136427,"MCBAH-AS-AP - MCB-ARIF HABIB SAVINGS AND INVESTMENTS LIMITED, PK",PK,"Karachi, Sindh, PK",server IP,True,11,0,21.917,138910 > 38193 > 174 > 9260 > 136427,PK > US,2026-09-15T08:33:41.678297
211662130,7613,152605,zcom.7613,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,5,0,16.769,152605 > 38193 > 137513,PK,2026-09-15T08:34:00.262281
211662186,7764,17557,ptcl.7764,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,1.17,17557,PK,2026-09-15T08:34:19.279874
211662234,60223,23674,nayatel.60223,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,7,2,21.483,17557 > 137513,PK,2026-09-15T08:34:34.994590
211662300,62224,45773,pern.62224,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,24.226,137513,PK,2026-09-15T08:34:54.114548
211662324,65761,9541,cybernet.65761,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,10,2,187.382,9557 > 17557 > 137513,PK,2026-09-15T08:35:10.267225
211662389,65892,23674,nayatel.65892,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,8,2,24.324,17557 > 137513,PK,2026-09-15T08:35:26.986408
211662421,1001359,147302,falcon.1001359,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,22.308,147302 > 38193 > 137513,PK,2026-09-15T08:35:43.035138
211662459,1014872,150683,fasttel.1014872,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,0,29.876,17557 > 137513,PK,2026-09-15T08:36:00.772530
211662500,1015679,136174,nova.1015679,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,6,0,18.557,6327 > 38193 > 137513,CA > PK,2026-09-15T08:36:17.507372
211662596,1016036,9541,cybernet.1016036,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,10,1,191.549,9541 > 9557 > 17557 > 137513,PK,2026-09-15T08:36:37.305541
211662747,1016126,17557,ptcl.1016126,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,7,0,9.39,17557 > 137513,PK,2026-09-15T08:36:53.544952
211662816,1016143,9541,cybernet.1016143,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,8,1,137.914,9557 > 17557 > 137513,PK,2026-09-15T08:37:09.559767
211664238,1017335,138910,AS138910.1017335,hbl-bank,"Bank (Cybernet customer, Cybernet-only detour via PIE hostname)",hbl-bank-as137513.pk,103.111.84.5,137513,"HBLBANKPVTLTD-AS-AP - HBL Bank Pvt Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,11,0,431.452,138910 > 23966 > 38193 > 137513,PK,2026-09-15T08:37:25.332936
