site,provider,city,cache_status,comments
"apkamazon.com.pk","cloudflare","lahore","DYNAMIC",""
"auroracloset.pk","cloudflare","lahore","DYNAMIC",""
"burgeroclock.com.pk","cloudflare","lahore","DYNAMIC",""
"businesslist.pk","cloudflare","lahore","DYNAMIC",""
"digikhata.pk","cloudflare","lahore","DYNAMIC",""
"dogar.com.pk","cloudflare","lahore","DYNAMIC",""
"historicalpoint.pk","cloudflare","lahore","DYNAMIC",""
"honda.com.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"logoofficial.com","cloudflare","lahore","DYNAMIC",""
"meerzah.pk","cloudflare","lahore","DYNAMIC",""
"mepcoebillcheck.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"motifz.com.pk","cloudflare","lahore","DYNAMIC",""
"pesconlinebill.pk","cloudflare","lahore","DYNAMIC",""
"pinkpetals.pk","cloudflare","marseille","DYNAMIC",""
"reading.pk","","","","page failed to load: net::ERR_NAME_NOT_RESOLVED at https://reading.pk"
"sarazcollection.pk","cloudflare","lahore","DYNAMIC",""
"skyscanner.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"supermeal.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"thefrontierpost.com","cloudflare","lahore","EXPIRED",""
"urbanbeauty.pk","cloudflare","lahore","DYNAMIC",""
"vidmateapp.com.pk","cloudflare","marseille","DYNAMIC",""
"wbm.com.pk","cloudflare","karachi","DYNAMIC",""
"zarajahan.pk","cloudflare","lahore","DYNAMIC",""
"zing.pk","cloudflare","lahore","DYNAMIC",""
"glory-casino.net.pk","cloudflare","lahore","DYNAMIC",""
"idc.net.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"wancom.net.pk","cloudflare","lahore","DYNAMIC",""
"bnbwu.edu.pk","","","","page failed to load: Navigation timeout of 45000 ms exceeded"
"ibcc.edu.pk","cloudflare","karachi","DYNAMIC",""
"uos.edu.pk","cloudflare","","DYNAMIC",""
"zu.edu.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"pesco.com.pk","cloudflare","marseille","DYNAMIC",""
"khushhalibank.com.pk","cloudfront","muscat","Miss from cloudfront",""
"mcb.com.pk","sucuri","amsterdam","HIT",""
"ajk.gov.pk","cloudflare","marseille","DYNAMIC",""
"joinasf.gov.pk","cloudflare","marseille","DYNAMIC",""
"paknavy.gov.pk","cloudflare","karachi","DYNAMIC",""
"pnmc.gov.pk","cloudflare","lahore","DYNAMIC",""
"gamcamedical.pk","","","","no CDN provider detected (locedge has no rule for this site's headers)"
"airblue.com","cloudflare","","DYNAMIC",""
