site,vantage,provider,city,cache_status,comments
"adobe.com","raslas-01-nova-lahore","","","","page failed to load: net::ERR_HTTP2_PROTOCOL_ERROR at https://adobe.com"
"akamai.com","raslas-01-nova-lahore","","","","no CDN provider detected by locedge"
"music.apple.com","raslas-01-nova-lahore","","","TCP_REFRESH_MISS from a95-100-193-5.deploy.akamaitechnologies.com (AkamaiGHost/22.6.2-97ef0859cc144569d43c2bf1998a4b4c) (S)","no CDN provider detected by locedge"
"raw.githubusercontent.com","raslas-01-nova-lahore","fastly","","HIT",""
"bbc.com","raslas-01-nova-lahore","fastly","","HIT",""
"cnn.com","raslas-01-nova-lahore","","","","page failed to load: Navigation timeout of 45000 ms exceeded"
"nytimes.com","raslas-01-nova-lahore","fastly","","HIT",""
"theguardian.com","raslas-01-nova-lahore","fastly","","HIT",""
"nike.com","raslas-01-nova-lahore","cloudfront","muscat","HIT,Hit from cloudfront",""
"khushhalibank.com.pk","raslas-01-nova-lahore","cloudfront","singapore","Miss from cloudfront",""
"apple.com","raslas-01-nova-lahore","","","","no CDN provider detected by locedge"
"icloud.com","raslas-01-nova-lahore","","","HIT,hit-fresh","no CDN provider detected by locedge"
"wikipedia.org","raslas-01-nova-lahore","","","HIT,cp5020 miss, cp5020 hit/26303,hit-front","no CDN provider detected by locedge"
"wikidata.org","raslas-01-nova-lahore","","","HIT,cp5020 miss, cp5020 hit/96,hit-front","no CDN provider detected by locedge"
"wiktionary.org","raslas-01-nova-lahore","","","HIT,cp5020 hit, cp5020 hit/61,hit-front","no CDN provider detected by locedge"
"wikimedia.org","raslas-01-nova-lahore","","","HIT,cp6016 miss, cp6009 hit/1062,hit-front","no CDN provider detected by locedge"
"linkedin.com","raslas-01-nova-lahore","","","","no CDN provider detected by locedge"
"waze.com","raslas-01-nova-lahore","google","","",""
"youtube.com","raslas-01-nova-lahore","google","","",""
