site,vantage,provider,city,main_page_cache_status,total_resources,resources_with_cache_info,pct_hit,pct_miss,pct_dynamic,pct_other,comments
apkamazon.com.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,65,64,98,0,2,0,
auroracloset.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,121,101,86,0,14,0,
burgeroclock.com.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,131,118,69,0,27,4,
businesslist.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,38,25,88,0,12,0,
digikhata.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,40,31,97,0,3,0,
dogar.com.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,142,117,90,0,10,0,
historicalpoint.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,92,86,94,0,5,1,
honda.com.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,,6,0,,,,,no CDN provider detected (locedge has no rule for this site's headers)
logoofficial.com,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,169,122,81,0,19,0,
meerzah.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,576,505,90,2,9,0,
mepcoebillcheck.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,47,0,,,,,
motifz.com.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,139,112,84,0,16,0,
pesconlinebill.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,16,13,77,0,15,8,
pinkpetals.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,231,187,86,0,11,3,
reading.pk,laptop-direct-cybernet-lahore,,,,0,0,,,,,page failed to load: net::ERR_NAME_NOT_RESOLVED at https://reading.pk
sarazcollection.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,152,140,90,0,10,0,
skyscanner.pk,laptop-direct-cybernet-lahore,,,,10,9,89,11,0,0,no CDN provider detected (locedge has no rule for this site's headers)
supermeal.pk,laptop-direct-cybernet-lahore,,,,56,26,100,0,0,0,no CDN provider detected (locedge has no rule for this site's headers)
thefrontierpost.com,laptop-direct-cybernet-lahore,cloudflare,lahore,EXPIRED,166,156,10,21,0,69,
urbanbeauty.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,132,102,79,1,19,1,
vidmateapp.com.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,14,12,92,0,8,0,
wbm.com.pk,laptop-direct-cybernet-lahore,cloudflare,karachi,DYNAMIC,335,289,93,1,6,0,
zarajahan.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,243,209,92,0,8,0,
zing.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,DYNAMIC,200,156,85,1,12,2,
glory-casino.net.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,48,42,83,10,7,0,
idc.net.pk,laptop-direct-cybernet-lahore,,,,2,0,,,,,no CDN provider detected (locedge has no rule for this site's headers)
wancom.net.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,109,101,54,0,2,44,
bnbwu.edu.pk,laptop-direct-cybernet-lahore,sucuri,amsterdam,EXPIRED,75,71,96,1,0,3,
ibcc.edu.pk,laptop-direct-cybernet-lahore,cloudflare,karachi,DYNAMIC,185,181,99,0,1,0,
uos.edu.pk,laptop-direct-cybernet-lahore,cloudflare,,DYNAMIC,123,109,23,0,1,76,
zu.edu.pk,laptop-direct-cybernet-lahore,cloudflare,lahore,,8,1,0,0,0,100,no CDN provider detected (locedge has no rule for this site's headers)
pesco.com.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,56,51,90,0,10,0,
khushhalibank.com.pk,laptop-direct-cybernet-lahore,cloudfront,muscat,Miss from cloudfront,121,117,11,89,0,0,
mcb.com.pk,laptop-direct-cybernet-lahore,sucuri,amsterdam,HIT,147,125,97,0,1,2,
ajk.gov.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,103,95,1,0,2,97,
joinasf.gov.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,30,26,35,0,4,62,
paknavy.gov.pk,laptop-direct-cybernet-lahore,cloudflare,karachi,DYNAMIC,86,83,98,0,1,1,
pnmc.gov.pk,laptop-direct-cybernet-lahore,cloudflare,marseille,DYNAMIC,94,89,98,0,1,1,
