asn,name,blocks,addrs,checks,probed,liveblk,live,blk8,traced,traces,reached,selblk,sel,pct_live_blk,pct_reach,pct_cov
17557,PKTELECOM-AS-PK - Pakistan Telecommunication,14573,3730688,435875,14573,3979,29536,3077,3979,29544,24909,3731,23593,27.30391820489947,84.31153533712428,93.76727821060568
9541,CYBERNET-AP - Cyber Internet Services (Pvt) ,876,224256,22260,876,164,1301,139,164,1301,792,156,777,18.72146118721461,60.876249039200616,95.1219512195122
23674,NAYATEL-PK - Nayatel (Pvt) Ltd,560,143360,16372,560,149,1187,134,149,1187,680,109,663,26.607142857142858,57.287278854254424,73.15436241610739
38264,WATEEN-IMS-PK-AS-AP - National WiMAX/IMS env,684,175104,21196,684,162,1182,126,162,1184,1095,161,1088,23.68421052631579,92.48310810810811,99.38271604938272
9260,MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd.,119,30464,6286,119,77,610,72,77,610,558,77,554,64.70588235294117,91.47540983606558,100.0
24499,TPP-AS-PK - Telenor Pakistan,80,20480,3659,80,56,461,49,56,461,435,55,405,70.0,94.36008676789588,98.21428571428571
38193,TWA-AS-AP - Transworld Associates (Pvt.) Ltd,93,23808,4532,93,57,451,49,57,451,388,57,377,61.29032258064516,86.0310421286031,100.0
135407,TES-PL-AS-AP - Trans World Enterprise Servic,90,23040,3140,90,47,409,46,47,409,397,47,363,52.22222222222222,97.06601466992664,100.0
138423,CMPAKLIMITED-AS-ENTCORP - CMPak Limited,79,20224,26508,79,66,373,19,66,386,342,65,325,83.54430379746836,88.60103626943005,98.48484848484848
132165,CONNECT-AS-AP - Connect Communications,136,34816,35038,136,39,368,21,39,372,314,38,207,28.676470588235293,84.40860215053763,97.43589743589743
136384,OPTIX-AS-AP - Optix Pakistan (Pvt.) Limited,88,22528,22352,88,37,351,26,37,351,328,36,244,42.04545454545455,93.44729344729345,97.29729729729729
17563,NEXLINX-AS-AP - Autonomous System Number for,119,30464,4703,119,42,311,32,42,311,264,42,264,35.294117647058826,84.88745980707395,100.0
17911,BRAINPK-AS-AP - Brain Telecommunication Ltd.,49,12544,12446,49,25,268,5,25,268,78,23,66,51.02040816326531,29.104477611940297,92.0
23966,LDN-AS-PK - LINKdotNET Telecom Limited,277,70912,7807,277,46,256,15,46,256,203,45,199,16.60649819494585,79.296875,97.82608695652173
59257,CMPAKLIMITED-AS-AP - CMPak Limited,182,46592,5062,182,36,252,23,36,252,195,32,189,19.78021978021978,77.38095238095238,88.88888888888889
45773,HECPERN-AS-PK - PERN AS Content Servie Provi,47,12032,2523,47,30,232,27,30,232,184,29,182,63.829787234042556,79.3103448275862,96.66666666666667
23888,NTC-AS-AP - National Telecommunication Corpo,95,24320,3660,95,34,228,21,34,228,151,28,151,35.78947368421053,66.2280701754386,82.3529411764706
7590,COMSATS - Commission on Science and Technolo,56,14336,3107,56,30,226,18,30,226,181,29,170,53.57142857142857,80.08849557522124,96.66666666666667
24435,SUPERNET-PAKISTAN-AS-AP - Supernet Limited T,73,18688,2819,73,28,210,23,28,210,191,28,189,38.35616438356164,90.95238095238095,100.0
23750,GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY,61,15616,2444,61,24,186,20,24,186,175,24,173,39.34426229508197,94.08602150537635,100.0
38713,"CONNECT2B-AS-PK - Broadband ISP, FTTH and Ca",47,12032,2300,47,24,177,19,24,177,164,24,164,51.06382978723404,92.65536723163842,100.0
59323,PITB-PUNJAB-PK - Punjab Information Technolo,5,1280,1270,5,5,169,4,5,169,17,2,9,100.0,10.059171597633137,40.0
135523,MULTINET-IE-AS-AP - Multinet Broadband,25,6400,6356,25,21,160,9,21,160,136,21,113,84.0,85.0,100.0
136030,REDTONE-AS-AP - Redtone Telecommunications P,30,7680,1780,30,20,143,15,20,143,129,20,129,66.66666666666667,90.20979020979021,100.0
55501,CONNECTEL-PK - 141-143 Maulana Shaukat Ali R,30,7680,1640,30,18,141,14,18,141,132,18,129,60.0,93.61702127659575,100.0
