target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,1,157.20.147.17,0.396,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,2,110.93.205.184,1.318,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,3,110.93.252.54,16.239,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,4,110.93.252.107,35.689,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,5,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,6,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,8,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,9,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7613,152605,zcom.7613,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888345,2026-09-13T04:54:00.307101
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,1,203.135.63.1,1.058,17557,203.135.63.0/24,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,2,172.25.3.14,1.107,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,3,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,4,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,5,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,6,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,7764,17557,ptcl.7764,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888377,2026-09-13T04:54:22.509774
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,1,192.168.18.1,1.545,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,2,100.89.32.1,3.889,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,3,172.27.0.29,2.843,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,4,172.27.0.22,3.078,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,5,172.31.5.170,2.903,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,6,110.93.202.134,2.515,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,8,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,9,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,10,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,11,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,60223,23674,nayatel.60223,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888421,2026-09-13T04:54:38.292719
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,1,10.102.76.1,1.405,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,2,172.25.3.14,0.652,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,3,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,4,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,5,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,6,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,62224,45773,pern.62224,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888441,2026-09-13T04:55:08.808527
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,1,192.168.18.1,1.264,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,2,205.164.150.1,3.239,136384,205.164.150.0/24,US,"OPTIX-AS-AP - Optix Pakistan (Pvt.) Limited, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,3,202.141.224.73,7.443,9260,202.141.224.0/19,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,4,149.40.227.188,2.771,174,149.40.0.0/16,US,"COGENT-174 - Cogent Communications, LLC, US",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,5,110.93.255.168,3.211,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,6,110.93.253.99,22.772,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,8,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,9,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,10,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,11,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
khushhalibank-censys-candidate.pk,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,64722,136384,AS136384.64722,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210888460,2026-09-13T04:55:24.624574
