measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
210888345,7613,152605,zcom.7613,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,4,6,35.689,152605 > 38193,PK,2026-09-13T04:54:00.307101
210888377,7764,17557,ptcl.7764,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,2,6,1.107,17557,PK,2026-09-13T04:54:22.509774
210888421,60223,23674,nayatel.60223,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,6,3.889,,PK,2026-09-13T04:54:38.292719
210888441,62224,45773,pern.62224,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,2,6,1.405,,,2026-09-13T04:55:08.808527
210888460,64722,136384,AS136384.64722,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,6,22.772,136384 > 9260 > 174,US > PK,2026-09-13T04:55:24.624574
210888494,65761,9541,cybernet.65761,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,10,6,38.298,,PK,2026-09-13T04:55:42.903536
210888521,65892,23674,nayatel.65892,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,6,10.571,,PK,2026-09-13T04:56:01.717440
210888550,1001359,147302,falcon.1001359,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,9,6,39.811,147302 > 38193,PK,2026-09-13T04:56:18.824169
210888645,1015679,136174,nova.1015679,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,5,6,36.941,6327 > 38193,CA > PK,2026-09-13T04:56:37.714241
210888693,1016036,9541,cybernet.1016036,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,8,43.268,9541,PK,2026-09-13T04:56:53.454677
210888737,1016126,17557,ptcl.1016126,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,6,28.65,17557,PK,2026-09-13T04:57:09.473698
210888783,1016143,9541,cybernet.1016143,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,7,152.893,,PK,2026-09-13T04:57:28.103274
210888842,1016393,17557,ptcl.1016393,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,6,44.85,17557,PK,2026-09-13T04:57:46.413445
210888894,1017335,138910,AS138910.1017335,khb-53-open,Khushhali Bank - the open/unblocked Transworld candidate,khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,6,35.81,138910,PK,2026-09-13T04:58:02.575091
