target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,1,157.20.147.17,0.504,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,2,110.93.205.184,0.721,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,3,110.93.254.144,16.132,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,4,110.93.253.209,36.341,,110.93.192.0/18,PK,TWA,False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,5,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,6,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,7,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,8,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,9,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7613,152605,zcom.7613,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890623,2026-09-13T05:22:15.483842
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,1,203.135.63.1,1.812,17557,203.135.62.0/23,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,2,172.25.3.14,0.496,,,,RFC1918,True,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,3,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,4,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,5,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,6,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,7,203.135.63.1,0,17557,203.135.62.0/23,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
khushhalibank-censys-candidate.pk,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",7764,17557,ptcl.7764,255,*,,,,,,False,True,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,False,210890633,2026-09-13T05:22:34.901958
