measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
210890623,7613,152605,zcom.7613,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,4,6,36.341,152605 > 38193,PK,2026-09-13T05:22:15.483842
210890633,7764,17557,ptcl.7764,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,3,5,1.812,17557,PK,2026-09-13T05:22:34.901958
210890637,60223,23674,nayatel.60223,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,3,5,4.717,,,2026-09-13T05:22:50.668079
210890640,62224,45773,pern.62224,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,True,3,1,1009.434,38193,PK,2026-09-13T05:23:08.766977
210890650,64722,136384,AS136384.64722,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,6,6,22.582,136384 > 9260 > 174,US > PK,2026-09-13T05:23:24.509734
210890659,65761,9541,cybernet.65761,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,9,7,39.215,,PK,2026-09-13T05:23:45.457870
210890663,65892,23674,nayatel.65892,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,2,6,3.524,,,2026-09-13T05:24:03.915451
210890668,1001359,147302,falcon.1001359,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,8,7,39.456,147302 > 38193,PK,2026-09-13T05:24:29.942594
210890699,1014872,150683,fasttel.1014872,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,5,6,8.189,38193,PK,2026-09-13T05:24:50.459671
210890712,1015679,136174,nova.1015679,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,5,6,37.04,6327 > 38193,CA > PK,2026-09-13T05:25:08.447925
210890724,1016036,9541,cybernet.1016036,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,8,43.465,9541,PK,2026-09-13T05:25:25.500041
210890742,1016126,17557,ptcl.1016126,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,5,29.08,17557,PK,2026-09-13T05:25:41.255394
210890766,1016143,9541,cybernet.1016143,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,3,6,4.469,,PK,2026-09-13T05:26:00.007902
210890790,1016393,17557,ptcl.1016393,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,5,122.652,17557,PK,2026-09-13T05:26:17.242393
210890984,1017335,138910,AS138910.1017335,khb-53-tcp443,"Khushhali Bank - open Transworld candidate, TCP/443 traceroute",khushhalibank-censys-candidate.pk,117.20.24.53,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Alipur, Islamabad, PK",server IP,False,7,6,38.19,138910,PK,2026-09-13T05:26:33.082297
