target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,1,157.20.147.17,3.239,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,2,110.93.205.184,0.708,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,3,110.93.254.144,18.288,,110.93.192.0/18,PK,TWA,False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,4,119.63.137.83,18.973,,119.63.128.0/20,PK,TWA,False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,5,10.253.4.37,19.028,,,,RFC1918,True,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,6,10.253.8.43,19.113,,,,RFC1918,True,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,7,221.120.221.46,19.185,17557,221.120.216.0/21,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,8,10.190.199.58,19.209,,,,RFC1918,True,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,9,221.120.222.166,19.535,17557,221.120.222.0/24,PK,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",False,False,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
khushhalibank-censys-candidate.pk,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",7613,152605,zcom.7613,10,*,,,,,,False,True,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,False,210885943,2026-09-13T04:25:37.835047
