measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
210885943,7613,152605,zcom.7613,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,9,6,19.535,152605 > 38193 > 17557,PK,2026-09-13T04:25:37.835047
210885965,7764,17557,ptcl.7764,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,2,6,0.787,17557,PK,2026-09-13T04:26:00.876667
210885987,60223,23674,nayatel.60223,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,7,8,15.319,17557,PK,2026-09-13T04:26:17.076078
210886006,62224,45773,pern.62224,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,2,6,1.463,,,2026-09-13T04:26:36.918532
210886036,64722,136384,AS136384.64722,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,11,6,20.091,136384 > 9260 > 174 > 17557,US > PK,2026-09-13T04:26:52.624477
210886074,65761,9541,cybernet.65761,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,10,10,191.894,9557 > 17557,PK,2026-09-13T04:27:12.101822
210886136,65892,23674,nayatel.65892,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,8,8,15.575,17557,PK,2026-09-13T04:27:28.029433
210886189,1001359,147302,falcon.1001359,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,14,6,25.328,147302 > 38193 > 17557,PK,2026-09-13T04:28:01.738135
210886263,1014872,150683,fasttel.1014872,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,10,6,20.955,17557,PK,2026-09-13T04:28:27.120354
210886317,1015679,136174,nova.1015679,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,10,6,26.631,6327 > 38193 > 17557,CA > PK,2026-09-13T04:28:50.206246
210886351,1016036,9541,cybernet.1016036,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,8,11,206.109,9541 > 9557 > 17557,PK,2026-09-13T04:29:06.577502
210886372,1016126,17557,ptcl.1016126,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,9,6,29.946,17557,PK,2026-09-13T04:29:22.365714
210886385,1016143,9541,cybernet.1016143,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,10,7,149.522,9557 > 17557,PK,2026-09-13T04:29:38.160675
210886396,1016393,17557,ptcl.1016393,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,8,6,190.429,17557,PK,2026-09-13T04:29:54.892706
210886465,1017335,138910,AS138910.1017335,khushhalibank-candidate,"Khushhali Bank (Censys wildcard-cert candidate, AS17557 PTCL)",khushhalibank-censys-candidate.pk,119.159.230.218,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,12,6,37.398,138910 > 17557,PK,2026-09-13T04:30:11.364580
