date,domain,query_type,ip,reverse_dns,os,asn,as_name,country,city,software,services,matched_field,matched_value,match_port,cert_not_after,is_pk_asn,verdict,notes,domain_summary
2026-09-13,khushhalibank.com.pk,exact_or_subdomain,52.76.158.143,ec2-52-76-158-143.ap-southeast-1.compute.amazonaws.com,Debian Linux,16509,AMAZON-02 - Amazon.com Inc,SG,Singapore,"Openbsd Openssh, Apache Http Server","22/SSH, 443/HTTP",host.services.cert.parsed.subject.common_name,uat.khushhalibank.com.pk,443,,FALSE,skip,foreign AWS EC2 + UAT/staging subdomain - not production not domestic,
2026-09-13,khushhalibank.com.pk,wildcard,119.159.230.218,,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Bahawalpur, Punjab",,443/UNKNOWN,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,confirmed (cert) / partially verified (path),"Cert confirmed real via TLS handshake. Direct GET / got connection reset (firewalled origin, expected). RIPE Atlas traceroute from 15 live PK probes: target never replies (expected). 10/15 probes show a clean unbroken path to a PTCL hop, no gaps. 5/15 have one or more silent hops mid-path (not just at the end) - a real blind spot, not confirmed domestic for those. 2/15 show a Cogent/Shaw hop that LOOKS foreign but is the project's already-documented address-squatting artifact (see findings/address_squatting_detector_correction.md) - RTT is 1-3ms, physically impossible for a real US/Canada round trip, so these are domestic too. Net: 0/15 show any genuine foreign hop. See findings.md for full writeup.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,117.20.24.58,,,38193,TWA-AS-AP - Transworld Associates (Pvt.) Ltd.,PK,"Rawalpindi, Punjab","Dynatrace, F5 Big-Ip Application Security Manager",443/HTTP,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,strong candidate,Same exact cert as the 119.159.230.218 PTCL candidate (O=Khushhali Microfinance Bank Ltd CN=*.khushhalibank.com.pk exp 2026-09-17) verified ok via direct TLS handshake. Direct GET / returned 403 Forbidden (F5 BIG-IP WAF blocking non-CDN traffic) rather than a reset - different block mechanism same story. Second independent PK-ASN hit for the same wildcard cert - suggests redundant domestic infra across PTCL + Transworld. Needs RIPE Atlas traceroute from PK to confirm domestic reachability.,"Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,117.20.24.53,,,38193,TWA-AS-AP - Transworld Associates (Pvt.) Ltd.,PK,"Rawalpindi, Punjab",,443/HTTP,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,confirmed,"FULLY CONFIRMED. Same valid cert as other candidates verified ok. Direct GET / returned HTTP 200 and served the actual production app - title 'Khushhali Internet Banking', real KMBL Logo.svg asset. ICMP traceroute (18 probes, 14 completed): target never echoes ICMP (normal). 12/14 clean path ending on Transworld PK, 2/14 mid-path gap but still ended on Transworld PK, 0/14 ended abroad. TCP/443 retest (18 probes, 15 completed): probe 62224 (PERN) got an actual reached=yes reply from the target itself, the first fully confirmed direct answer in this experiment. Rest of the TCP run had more mid-path gaps than the ICMP run (8/15 vs 2/14) - likely a mix of normal per-run path variance (ECMP) and routers treating TCP probes differently, not a clean 'TCP is better' story. Net: real content + real cert + one fully confirmed direct reply + no evidence of a foreign path anywhere. Full data: results/khb-53-open_20260913_093858/ and results/khb-53-tcp443_20260913_100711/","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,117.20.24.54,,,38193,TWA-AS-AP - Transworld Associates (Pvt.) Ltd.,PK,"Rawalpindi, Punjab",,"443/UNKNOWN, 5055/UNKNOWN",host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,"443, 5055",2026-09-17,TRUE,strong candidate,"Same valid cert verified ok via TLS handshake. Direct GET / got connection reset by peer, same firewalled-origin pattern as 119.159.230.218. Third independent PK-ASN hit for the same wildcard cert (all on Transworld/PTCL, all PK).","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,202.125.155.68,rwp44.pie.net.pk,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Rawalpindi, Punjab",,443/HTTP,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,confirmed,"CONFIRMED LIVE ORIGIN. Same valid cert verified ok via TLS handshake. Direct GET / returned HTTP 200 and served the actual production app - title 'Khushhali Internet Banking'. Not blocked, second open PTCL-side server (after .53 on Transworld side). Has reverse DNS (rwp44.pie.net.pk) unlike the other PTCL hit.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,202.125.155.77,se6-4-0.rwp44d3.pie.net.pk,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Rawalpindi, Punjab","Dynatrace, F5 Big-Ip Application Security Manager",443/HTTP,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,strong candidate,"Same valid cert verified ok via TLS handshake. Direct GET / returned 403 Forbidden (F5 BIG-IP WAF, same block pattern as 117.20.24.58). Second PTCL hit, on the pie.net.pk naming block like 202.125.155.68 but this one is blocked.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,202.125.155.73,rwp44.pie.net.pk,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Lahore, Punjab",,443/UNKNOWN,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,strong candidate,"Same valid cert verified ok via TLS handshake. Direct GET / got connection reset (firewalled, same pattern as 119.159.230.218/.54). Shares reverse DNS (rwp44.pie.net.pk) with 202.125.155.68 despite Censys geolocating this one to Lahore vs Rawalpindi for .68/.77 - likely a geolocation DB inconsistency, not a real separate site, same /24 block, same PTR base name.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,202.125.155.72,rwp44.pie.net.pk,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Lahore, Punjab",,"443/UNKNOWN, 5055/UNKNOWN",host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,"443, 5055",2026-09-17,TRUE,strong candidate,"Same valid cert verified ok via TLS handshake. Direct GET / got connection reset (firewalled, same pattern as .73). Same rwp44.pie.net.pk PTR / geolocation note as .73 applies.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
2026-09-13,khushhalibank.com.pk,wildcard,221.120.222.161,lhr63.pie.net.pk,,17557,PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited,PK,"Hafizabad, Punjab",,443/UNKNOWN,host.services.cert.parsed.subject.common_name,*.khushhalibank.com.pk,443,2026-09-17,TRUE,strong candidate,"Same valid cert verified ok via TLS handshake. Direct GET / got connection reset (firewalled, same pattern as .73/.72). Different PTR block (lhr63.pie.net.pk vs rwp44.pie.net.pk) - another distinct PTCL-side node in the pool.","Part of a 12-IP domestic pool for this domain (PTCL AS17557 x9 + Transworld AS38193 x3, all valid wildcard cert). 10/12 firewalled to direct requests, 2/12 (.53, 202.125.155.68) serve the live app directly, unprotected. See notes.md and findings.md for full writeup."
