target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,1,157.20.147.17,0.671,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,2,110.93.205.184,0.668,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,3,110.93.252.102,19.936,,110.93.192.0/18,PK,TWA,False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,4,110.93.254.87,39.474,,110.93.192.0/18,PK,TWA,False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,5,119.63.134.94,39.976,38193,119.63.134.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,6,210.56.8.151,39.994,7590,210.56.8.0/24,PK,"COMSATS - Commission on Science and Technology for, PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,7613,152605,Pakistan,7,203.124.33.162,40.068,7590,203.124.33.0/24,PK,"COMSATS - Commission on Science and Technology for, PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212488171,2026-09-17T07:18:08.144510
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,1,192.168.18.1,1.492,,,,RFC1918,True,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,2,100.89.160.1,4.107,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,3,172.27.0.29,3.113,,,,RFC1918,True,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,4,172.27.0.22,2.476,,,,RFC1918,True,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,5,172.31.5.170,2.809,,,,RFC1918,True,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,6,110.93.202.134,2.681,,110.93.192.0/18,PK,TWA,False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,7,110.93.254.7,3.255,,110.93.192.0/18,PK,TWA,False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,8,119.63.134.94,3.517,38193,119.63.134.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,9,210.56.8.151,3.38,7590,210.56.8.0/24,PK,"COMSATS - Commission on Science and Technology for, PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
ahpc.org.pk,ahpc,pk-candidate,60223,23674,Pakistan,10,203.124.33.162,3.663,7590,203.124.33.0/24,PK,"COMSATS - Commission on Science and Technology for, PK",False,False,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",PK,True,212482121,2026-09-17T06:55:07.591372
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,1,157.20.147.17,0.332,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,2,110.93.205.184,0.83,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,3,110.93.252.54,42.698,,110.93.192.0/18,PK,TWA,False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,4,110.93.254.209,39.505,,110.93.192.0/18,PK,TWA,False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,5,117.20.23.234,42.714,38193,117.20.23.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,6,172.31.240.9,40.862,,,,RFC1918,True,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,7,172.31.252.54,71.361,,,,RFC1918,True,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,8,111.68.99.6,73.523,45773,111.68.99.0/24,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",False,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,9,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,10,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,11,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,12,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,13,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,7613,152605,Pakistan,255,*,,,,,,False,True,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212486591,2026-09-17T07:13:04.837800
bahria.edu.pk,bahria,pk-candidate,60223,23674,Pakistan,1,192.168.18.1,1.83,,,,RFC1918,True,False,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,False,212480191,2026-09-17T06:49:27.249578
