measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
212477781,60223,23674,Pakistan,weboc,pk-candidate,weboc.gov.pk,175.107.219.203,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,3,31.583,9541,PK,2026-09-17T06:36:31.084223
212477782,60223,23674,Pakistan,psca,pk-candidate,psca.gop.pk,103.119.125.20,138019,"PSCA-AS-AP - Punjab Safe City Authority, PK",PK,"Lahore, Punjab, PK",server IP,True,9,1,43.215,138019,PK,2026-09-17T06:36:57.368062
212477783,60223,23674,Pakistan,cyber,pk-candidate,cyber.net.pk,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,9,3,23.84,9541,PK,2026-09-17T06:37:19.489079
212477791,60223,23674,Pakistan,ntc,pk-candidate,ntc.net.pk,203.101.184.82,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,False,7,6,3.871,9541,PK,2026-09-17T06:37:35.697656
212477794,60223,23674,Pakistan,zong,pk-candidate,zong.com.pk,209.150.154.189,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,9,5,4.346,174 > 59257,PK > US,2026-09-17T06:37:54.021297
212477796,60223,23674,Pakistan,gerrys,pk-candidate,gerrys.net,202.69.33.8,23750,"GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY PVT LTD., PK",PK,"Karachi, Sindh, PK",server IP,True,10,0,27.107,38193 > 23750,PK,2026-09-17T06:38:13.397715
212477800,60223,23674,Pakistan,mora,pk-candidate,mora.gov.pk,43.250.84.202,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,7,6,4.572,23888,PK,2026-09-17T06:38:35.182770
212477820,60223,23674,Pakistan,fbr,pk-candidate,fbr.gov.pk,103.125.60.60,,,,"Islamabad, Islamabad, PK",server IP,False,6,6,3.374,,PK,2026-09-17T06:38:54.499824
212477866,60223,23674,Pakistan,cpsp,pk-candidate,cpsp.edu.pk,111.68.111.15,,,,"Karachi, Sindh, PK",server IP,True,11,2,24.376,38193,PK,2026-09-17T06:39:15.725451
212477923,60223,23674,Pakistan,pta,pk-candidate,pta.gov.pk,175.107.60.231,,,,"Rawalpindi, Punjab, PK",server IP,False,7,6,4.739,23888,PK,2026-09-17T06:39:49.890435
212477973,60223,23674,Pakistan,chametw,pk-candidate,chametw.com,111.119.162.220,132165,"CONNECT-AS-AP - Connect Communications, PK",PK,"Tando Adam, Sindh, PK",server IP,True,8,2,24.962,9557 > 132165,PK,2026-09-17T06:40:20.474699
