target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,1,157.20.147.17,0.44,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,2,110.93.205.184,0.851,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,3,110.93.252.50,16.182,,110.93.192.0/18,PK,TWA,False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,4,110.93.255.187,36.533,,110.93.192.0/18,PK,TWA,False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,5,117.20.23.234,37.393,38193,117.20.23.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,6,*,,,,,,False,True,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,7,*,,,,,,False,True,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,7613,152605,Pakistan,8,45.64.25.46,36.939,45773,45.64.25.0/24,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213419216,2026-09-20T08:33:39.746098
aiou.edu.pk,aiou,pk-selection26-silent,60223,23674,Pakistan,1,192.168.18.1,2.092,,,,RFC1918,True,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213418557,2026-09-20T08:29:31.857278
aiou.edu.pk,aiou,pk-selection26-silent,60223,23674,Pakistan,2,100.89.160.1,3.511,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,True,213418557,2026-09-20T08:29:31.857278
