measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
213418261,60223,23674,Pakistan,cinepax,pk-selection26-silent,cinepax.com,103.249.155.209,17539,"ASN-NCKHI-AP - NetSol Connect, PK",PK,"Karachi, Sindh, PK",server IP,True,4,4,40.641,17539,PK,2026-09-20T08:26:25.694085
213418291,60223,23674,Pakistan,cll,pk-selection26-silent,cll.com.pk,125.209.70.164,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,17.225,9260,PK,2026-09-20T08:26:45.065299
213418313,60223,23674,Pakistan,pmdc,pk-selection26-silent,pmdc.pk,175.107.60.117,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,3.566,23888,PK,2026-09-20T08:27:02.909467
213418358,60223,23674,Pakistan,gepco,pk-selection26-silent,gepco.com.pk,163.61.25.23,153561,"PITC1-AS-AP - PITC, PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,3.405,,,2026-09-20T08:27:19.388410
213418366,60223,23674,Pakistan,ep,pk-selection26-silent,ep.gov.pk,124.109.52.82,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,"Islamabad, Islamabad, PK",server IP,True,7,3,5.604,23674,PK,2026-09-20T08:27:36.669715
213418382,60223,23674,Pakistan,ntc,pk-selection26-silent,ntc.net.pk,203.101.184.82,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,17.313,9541,PK,2026-09-20T08:27:52.706508
213418413,60223,23674,Pakistan,connect,pk-selection26-silent,connect.net.pk,115.42.65.248,132165,"CONNECT-AS-AP - Connect Communications, PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,27.468,132165,PK,2026-09-20T08:28:09.159022
213418438,60223,23674,Pakistan,punjab,pk-selection26-silent,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,16.014,59323,PK,2026-09-20T08:28:25.005416
213418470,60223,23674,Pakistan,ppsc,pk-selection26-silent,ppsc.gop.pk,103.111.161.187,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,16.396,59323,PK,2026-09-20T08:28:42.844483
213418489,60223,23674,Pakistan,mora,pk-selection26-silent,mora.gov.pk,43.250.84.202,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,3.562,23888,PK,2026-09-20T08:28:58.719859
213418523,60223,23674,Pakistan,fbr,pk-selection26-silent,fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,4.109,138424,PK,2026-09-20T08:29:15.300300
213418557,60223,23674,Pakistan,aiou,pk-selection26-silent,aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,3.945,45773,PK,2026-09-20T08:29:31.857278
213418572,60223,23674,Pakistan,hec,pk-selection26-silent,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,4.06,45773,PK,2026-09-20T08:29:47.669706
213418599,60223,23674,Pakistan,lums,pk-selection26-silent,lums.edu.pk,110.93.234.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Model Town, Punjab, PK",server IP,False,2,6,3.192,,,2026-09-20T08:30:03.543022
213418697,7613,152605,Pakistan,cinepax,pk-selection26-silent,cinepax.com,103.249.155.209,17539,"ASN-NCKHI-AP - NetSol Connect, PK",PK,"Karachi, Sindh, PK",server IP,True,8,1,19.477,152605 > 38193 > 702 > 17539,PK > NL,2026-09-20T08:30:19.313853
