target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout,target_ip,target_asn,target_asn_name,target_country,destination_responded,measurement_id,timestamp
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,7613,152605,Pakistan,1,157.20.147.17,0.823,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429784,2026-09-20T10:24:44.877423
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,7613,152605,Pakistan,2,110.93.205.184,0.895,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429784,2026-09-20T10:24:44.877423
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,7613,152605,Pakistan,3,110.93.197.229,1.555,38193,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429784,2026-09-20T10:24:44.877423
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,7613,152605,Pakistan,4,202.142.160.201,1.386,9260,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429784,2026-09-20T10:24:44.877423
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,7613,152605,Pakistan,5,202.141.242.194,1.539,9260,202.141.224.0/19,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429784,2026-09-20T10:24:44.877423
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,1,192.168.18.1,1.46,,,,RFC1918,True,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,2,100.89.160.1,3.232,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,3,*,,,,,,False,True,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,4,*,,,,,,False,True,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,5,*,,,,,,False,True,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,6,*,,,,,,False,True,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,7,*,,,,,,False,True,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cuecinemas.com,cuecinemas,pk-selection26-tcp-rest,60223,23674,Pakistan,255,202.141.242.194,16.045,9260,202.141.224.0/19,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,True,213429302,2026-09-20T10:21:20.205867
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,1,157.20.147.17,0.38,152605,157.20.147.0/24,PK,"ZCOMNETWORKS-AS-AP - Z COM NETWORKS, PK",False,False,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,2,110.93.205.184,1.049,38193,110.93.205.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,3,110.93.254.66,16.273,,110.93.192.0/18,PK,TWA,False,False,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,4,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,5,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,6,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,7,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,8,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,7613,152605,Pakistan,255,*,,,,,,False,True,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429849,2026-09-20T10:26:01.634458
cyber.net.pk,cyber,pk-selection26-tcp-rest,60223,23674,Pakistan,1,192.168.18.1,1.277,,,,RFC1918,True,False,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429424,2026-09-20T10:22:27.792931
cyber.net.pk,cyber,pk-selection26-tcp-rest,60223,23674,Pakistan,2,100.89.160.1,3.287,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,False,213429424,2026-09-20T10:22:27.792931
