measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
213429264,60223,23674,Pakistan,tamashaweb,pk-selection26-tcp-rest,tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",PK,"Shahpur Chakar, Sindh, PK",server IP,True,3,5,38.973,45669,PK,2026-09-20T10:20:59.786445
213429302,60223,23674,Pakistan,cuecinemas,pk-selection26-tcp-rest,cuecinemas.com,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,16.045,9260,PK,2026-09-20T10:21:20.205867
213429325,60223,23674,Pakistan,universalcinemas,pk-selection26-tcp-rest,universalcinemas.com,103.69.111.99,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,43.837,23966,PK,2026-09-20T10:21:36.569221
213429345,60223,23674,Pakistan,pshealthpunjab,pk-selection26-tcp-rest,pshealthpunjab.gov.pk,116.58.20.78,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,27.234,17563,PK,2026-09-20T10:21:52.886684
213429368,60223,23674,Pakistan,lesco,pk-selection26-tcp-rest,lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,4,4,18.013,17563,PK,2026-09-20T10:22:11.403735
213429424,60223,23674,Pakistan,cyber,pk-selection26-tcp-rest,cyber.net.pk,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,2,6,3.287,,,2026-09-20T10:22:27.792931
213429476,60223,23674,Pakistan,zong,pk-selection26-tcp-rest,zong.com.pk,209.150.154.189,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,3,5,3.926,59257,PK,2026-09-20T10:22:44.025152
213429540,60223,23674,Pakistan,gerrys,pk-selection26-tcp-rest,gerrys.net,202.69.33.8,23750,"GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY PVT LTD., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,23.24,23750,PK,2026-09-20T10:23:00.684674
213429599,60223,23674,Pakistan,weboc,pk-selection26-tcp-rest,weboc.gov.pk,175.107.219.203,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,3,5,55.591,9541,PK,2026-09-20T10:23:18.032632
213429630,60223,23674,Pakistan,vu,pk-selection26-tcp-rest,vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,True,3,5,8.814,38264,PK,2026-09-20T10:23:34.327134
213429670,60223,23674,Pakistan,pu,pk-selection26-tcp-rest,pu.edu.pk,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Lahore, Punjab, PK",server IP,False,2,6,3.313,,,2026-09-20T10:23:50.913317
213429704,60223,23674,Pakistan,kpese,pk-selection26-tcp-rest,kpese.gov.pk,175.107.63.111,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Rawalpindi, Punjab, PK",server IP,False,2,6,3.736,,,2026-09-20T10:24:07.298256
213429762,7613,152605,Pakistan,tamashaweb,pk-selection26-tcp-rest,tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",PK,"Shahpur Chakar, Sindh, PK",server IP,True,7,1,9.345,152605 > 38193 > 23966 > 45669,PK,2026-09-20T10:24:23.581819
213429784,7613,152605,Pakistan,cuecinemas,pk-selection26-tcp-rest,cuecinemas.com,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,"Karachi, Sindh, PK",server IP,True,5,0,1.555,152605 > 38193 > 9260,PK,2026-09-20T10:24:44.877423
213429816,7613,152605,Pakistan,universalcinemas,pk-selection26-tcp-rest,universalcinemas.com,103.69.111.99,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",PK,"Lahore, Punjab, PK",server IP,True,9,6,39.09,152605 > 38193 > 23966 > 58470,PK,2026-09-20T10:25:01.774086
213429825,7613,152605,Pakistan,pshealthpunjab,pk-selection26-tcp-rest,pshealthpunjab.gov.pk,116.58.20.78,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,6,6,3.04,152605 > 38193 > 9557 > 17563,PK,2026-09-20T10:25:25.866193
213429834,7613,152605,Pakistan,lesco,pk-selection26-tcp-rest,lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,7,3,3.292,152605 > 38193 > 17563,PK,2026-09-20T10:25:43.918653
213429849,7613,152605,Pakistan,cyber,pk-selection26-tcp-rest,cyber.net.pk,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,3,6,16.273,152605 > 38193,PK,2026-09-20T10:26:01.634458
213429856,7613,152605,Pakistan,zong,pk-selection26-tcp-rest,zong.com.pk,209.150.154.189,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,True,6,5,36.997,152605 > 38193 > 174 > 59257,PK > US,2026-09-20T10:26:20.042381
