measurement_id,probe_id,probe_asn,probe_city,target_label,target_category,target_hostname,target_ip,target_asn,target_asn_name,target_country,dest_location,location_via,destination_responded,total_hops,timeout_hops,max_rtt_ms,asns_in_path,countries_in_path,timestamp
213397212,60223,23674,Pakistan,vu,pk-top50-new,vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,True,9,4,23.594,45773 > 38264,PK,2026-09-20T04:49:53.509401
213397218,60223,23674,Pakistan,aiou,pk-top50-new,aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,10.537,,PK,2026-09-20T04:50:35.154107
213397225,60223,23674,Pakistan,punjab,pk-top50-new,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,26.511,,,2026-09-20T04:50:53.032673
213397238,60223,23674,Pakistan,pu,pk-top50-new,pu.edu.pk,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Lahore, Punjab, PK",server IP,True,7,3,23.541,45773,PK,2026-09-20T04:51:27.818873
213397257,60223,23674,Pakistan,connect,pk-top50-new,connect.net.pk,115.42.65.248,132165,"CONNECT-AS-AP - Connect Communications, PK",PK,"Karachi, Sindh, PK",server IP,False,7,8,23.717,9557 > 17557,PK,2026-09-20T04:51:46.100711
213397286,60223,23674,Pakistan,hec,pk-top50-new,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,6.41,,PK,2026-09-20T04:52:04.284922
213397310,60223,23674,Pakistan,ppsc,pk-top50-new,ppsc.gop.pk,103.111.161.187,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,37.509,,,2026-09-20T04:52:21.423271
213397363,60223,23674,Pakistan,mofa,pk-top50-new,mofa.gov.pk,43.250.84.145,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,7,6,4.446,23888,PK,2026-09-20T04:52:37.660421
213397422,60223,23674,Pakistan,pitb,pk-top50-new,pitb.gov.pk,103.226.216.151,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,9,6,28.708,,,2026-09-20T04:52:56.498957
213397464,60223,23674,Pakistan,lums,pk-top50-new,lums.edu.pk,110.93.234.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Model Town, Punjab, PK",server IP,False,10,6,41.897,38193,PK,2026-09-20T04:53:17.147680
213397487,60223,23674,Pakistan,tamashaweb,pk-top50-new,tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",PK,"Shahpur Chakar, Sindh, PK",server IP,True,11,1,38.279,38193 > 23966 > 45669,PK,2026-09-20T04:53:42.021112
213397530,60223,23674,Pakistan,digiskills,pk-top50-new,digiskills.pk,58.27.231.139,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,False,8,10,23.434,45773,PK,2026-09-20T04:54:04.549211
213397577,60223,23674,Pakistan,dgip,pk-top50-new,dgip.gov.pk,43.250.84.159,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,7,6,13.94,23888,PK,2026-09-20T04:54:21.139820
213397608,60223,23674,Pakistan,lesco,pk-top50-new,lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,12,0,17.625,17563,PK,2026-09-20T04:54:37.401313
213397653,60223,23674,Pakistan,ep,pk-top50-new,ep.gov.pk,124.109.52.82,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,"Islamabad, Islamabad, PK",server IP,False,8,6,4.204,23674,PK,2026-09-20T04:55:06.144946
213397676,60223,23674,Pakistan,excise,pk-top50-new,excise.gos.pk,59.103.225.21,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,False,5,6,12.953,,,2026-09-20T04:55:23.583810
213397703,60223,23674,Pakistan,cll,pk-top50-new,cll.com.pk,125.209.70.164,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,10,6,22.837,9260,PK,2026-09-20T04:55:40.109918
213397733,60223,23674,Pakistan,dmasti,pk-top50-new,dmasti.pk,103.24.96.62,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",PK,"Karachi, Sindh, PK",server IP,True,10,1,48.15,174 > 58895,PK > US,2026-09-20T04:56:00.827975
213397777,60223,23674,Pakistan,sims,pk-top50-new,sims.pk,115.186.173.250,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,"Islamabad, Islamabad, PK",server IP,True,7,0,4.346,23674,PK,2026-09-20T04:56:19.457541
213397872,7613,152605,Pakistan,vu,pk-top50-new,vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,True,5,2,1.682,152605 > 38193 > 45773 > 38264,PK,2026-09-20T04:56:35.826548
213397894,7613,152605,Pakistan,aiou,pk-top50-new,aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,False,5,6,38.715,152605 > 38193,PK,2026-09-20T04:56:53.512532
213397910,7613,152605,Pakistan,punjab,pk-top50-new,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,4,6,16.996,152605 > 38193,PK,2026-09-20T04:57:13.177013
213397918,7613,152605,Pakistan,pu,pk-top50-new,pu.edu.pk,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Lahore, Punjab, PK",server IP,True,7,5,20.366,152605 > 38193 > 45773,PK,2026-09-20T04:57:31.780159
213397934,7613,152605,Pakistan,connect,pk-top50-new,connect.net.pk,115.42.65.248,132165,"CONNECT-AS-AP - Connect Communications, PK",PK,"Karachi, Sindh, PK",server IP,False,6,7,18.545,152605 > 38193 > 17557,PK,2026-09-20T04:57:57.301729
213397956,7613,152605,Pakistan,hec,pk-top50-new,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PK,"Islamabad, Islamabad, PK",server IP,False,5,6,37.603,152605 > 38193,PK,2026-09-20T04:58:13.498066
213397961,7613,152605,Pakistan,ppsc,pk-top50-new,ppsc.gop.pk,103.111.161.187,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,4,6,11.255,152605 > 38193,PK,2026-09-20T04:58:31.803669
213397965,7613,152605,Pakistan,mofa,pk-top50-new,mofa.gov.pk,43.250.84.145,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,37.086,152605 > 38193 > 23888,PK,2026-09-20T04:58:47.523294
213397976,7613,152605,Pakistan,pitb,pk-top50-new,pitb.gov.pk,103.226.216.151,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PK,"Lahore, Punjab, PK",server IP,False,4,6,4.018,152605 > 38193,PK,2026-09-20T04:59:06.443048
213397986,7613,152605,Pakistan,lums,pk-top50-new,lums.edu.pk,110.93.234.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",PK,"Model Town, Punjab, PK",server IP,False,5,6,4.173,152605 > 38193 > 45773,PK,2026-09-20T04:59:22.147049
213397995,7613,152605,Pakistan,tamashaweb,pk-top50-new,tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",PK,"Shahpur Chakar, Sindh, PK",server IP,True,7,1,1.384,152605 > 38193 > 23966 > 45669,PK,2026-09-20T04:59:38.332143
213398020,7613,152605,Pakistan,digiskills,pk-top50-new,digiskills.pk,58.27.231.139,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",PK,"Lahore, Punjab, PK",server IP,False,4,8,1.582,152605 > 38193 > 45773,PK,2026-09-20T04:59:56.644419
213398037,7613,152605,Pakistan,dgip,pk-top50-new,dgip.gov.pk,43.250.84.159,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,6,37.179,152605 > 38193 > 23888,PK,2026-09-20T05:00:12.409132
213398052,7613,152605,Pakistan,lesco,pk-top50-new,lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",PK,"Lahore, Punjab, PK",server IP,True,6,3,3.454,152605 > 38193 > 17563,PK,2026-09-20T05:00:32.809334
213398071,7613,152605,Pakistan,ep,pk-top50-new,ep.gov.pk,124.109.52.82,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,"Islamabad, Islamabad, PK",server IP,False,6,10,37.515,152605 > 38193 > 23674,PK,2026-09-20T05:00:48.507844
213398096,7613,152605,Pakistan,excise,pk-top50-new,excise.gos.pk,59.103.225.21,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PK,"Islamabad, Islamabad, PK",server IP,False,4,6,17.649,152605 > 38193,PK,2026-09-20T05:01:10.204184
213398119,7613,152605,Pakistan,cll,pk-top50-new,cll.com.pk,125.209.70.164,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,"Karachi, Sindh, PK",server IP,False,4,6,1.409,152605 > 38193 > 9260,PK,2026-09-20T05:01:27.684186
213398131,7613,152605,Pakistan,dmasti,pk-top50-new,dmasti.pk,103.24.96.62,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",PK,"Karachi, Sindh, PK",server IP,True,6,1,17.77,152605 > 38193 > 174 > 58895,PK > US,2026-09-20T05:01:43.995713
213398150,7613,152605,Pakistan,sims,pk-top50-new,sims.pk,115.186.173.250,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",PK,"Islamabad, Islamabad, PK",server IP,True,6,3,36.281,152605 > 38193 > 23674,PK,2026-09-20T05:01:59.962943
