Domain,IP,ASN,CISA Sector
aust.edu.pk,210.2.169.216,23966,Education
digiskills.pk,58.27.231.139,38264,Education
aiou.edu.pk,45.64.25.46,45773,Education
etea.edu.pk,115.167.74.9,38547,Education
pieas.edu.pk,111.68.99.215,45773,Education
bahria.edu.pk,111.68.99.6,45773,Education
bisemultan.edu.pk,119.160.107.135,45669,Education
cpsp.edu.pk,111.68.111.15,45773,Education
bisebwp.edu.pk,182.176.111.203,17557,Education
nu.edu.pk,203.124.44.78,7590,Education
ndu.edu.pk,43.250.84.230,23888,Education
uok.edu.pk,43.250.84.121,23888,Education
hec.gov.pk,111.68.100.163,45773,Education
pmfpunjab.edu.pk,103.111.161.129,59323,Education
kiu.edu.pk,210.56.9.86,7590,Education
qau.edu.pk,111.68.96.51,45773,Education
millenniumschools.edu.pk,210.56.13.117,7590,Education
seecs.edu.pk,111.68.101.54,45773,Education
pef.edu.pk,202.83.171.5,23888,Education
cuiwah.edu.pk,210.56.11.242,7590,Education
bisesargodha.edu.pk,223.123.65.114,59257,Education
numl.edu.pk,111.68.97.117,45773,Education
fauji.org.pk,124.109.54.66,23674,Government Services & Facilities
tourism.gov.pk,203.101.184.77,9541,Government Services & Facilities
bisebwp.pk,221.120.217.252,17557,Government Services & Facilities
srb.gos.pk,203.130.1.20,24435,Government Services & Facilities
pifra.gov.pk,203.101.184.118,9541,Government Services & Facilities
ecp.gov.pk,59.103.225.220,17557,Government Services & Facilities
pitc.com.pk,163.61.25.12,153561,Government Services & Facilities
fgei.gov.pk,210.56.11.242,7590,Government Services & Facilities
mohtasib.gov.pk,203.101.184.86,9541,Government Services & Facilities
cabinet.gov.pk,175.107.60.237,23888,Government Services & Facilities
pakistancode.gov.pk,175.107.60.206,23888,Government Services & Facilities
spsc.gos.pk,103.12.58.26,58893,Government Services & Facilities
spsc.gov.pk,103.12.58.26,58893,Government Services & Facilities
tevta.gop.pk,202.142.172.236,9260,Government Services & Facilities
njp.gov.pk,175.107.60.230,23888,Government Services & Facilities
fpsc.gov.pk,43.250.84.65,23888,Government Services & Facilities
oec.gov.pk,103.55.68.157,23674,Government Services & Facilities
punjab-zameen.gov.pk,160.22.38.22,152890,Government Services & Facilities
mod.gov.pk,203.101.184.86,9541,Government Services & Facilities
islamabadpolice.gov.pk,43.250.84.139,23888,Government Services & Facilities
sindh.gov.pk,175.107.33.163,23888,Government Services & Facilities
fbr.gov.pk,103.125.60.60,138424,Government Services & Facilities
lgkp.gov.pk,175.107.63.111,23888,Government Services & Facilities
ppsc.gop.pk,103.111.161.187,59323,Government Services & Facilities
ndma.gov.pk,182.188.28.161,17557,Government Services & Facilities
balochistanpolice.gov.pk,221.120.194.28,17557,Government Services & Facilities
na.gov.pk,175.107.60.12,23888,Government Services & Facilities
ajkpolice.gok.pk,203.124.44.94,7590,Government Services & Facilities
swkpk.gov.pk,175.107.63.111,23888,Government Services & Facilities
joinanf.pk,43.250.84.129,23888,Government Services & Facilities
punjablaws.gov.pk,103.226.217.162,59323,Government Services & Facilities
senate.gov.pk,175.107.60.13,23888,Government Services & Facilities
agripunjab.gov.pk,103.226.216.186,59323,Government Services & Facilities
lhc.gov.pk,103.226.216.153,59323,Government Services & Facilities
pap.gov.pk,103.226.217.162,59323,Government Services & Facilities
dgcs.gos.pk,103.111.161.11,59323,Government Services & Facilities
efan.gov.pk,103.226.217.249,59323,Government Services & Facilities
psca.gop.pk,103.119.125.20,138019,Government Services & Facilities
punjab.gov.pk,103.226.216.120,59323,Government Services & Facilities
pmyp.gov.pk,43.250.84.153,23888,Government Services & Facilities
super.net.pk,203.130.2.162,24435,Communications
elb.com.pk,157.20.147.242,152605,Communications
ptcl.com.pk,221.120.226.61,17557,Communications
zong.com.pk,209.150.154.189,59257,Communications
gbn.net.pk,103.18.243.4,58893,Communications
nexlinx.net.pk,202.59.80.26,17563,Communications
connect.net.pk,115.42.65.248,132165,Communications
blinkbroadband.pk,103.121.121.29,131275,Communications
logon.com.pk,103.121.121.29,131275,Communications
braintel.net.pk,203.128.25.10,17911,Communications
nation.net.pk,115.42.65.245,132165,Communications
sonic.pk,119.160.105.77,45669,Communications
kkn.com.pk,103.115.197.73,152605,Communications
ges.net.pk,103.18.243.3,58893,Communications
pmdc.pk,175.107.60.117,23888,Healthcare & Public Health
cll.com.pk,202.59.76.254,17563,Healthcare & Public Health
mohw.gov.pk,203.101.184.88,9541,Healthcare & Public Health
dunya.com.pk,117.20.18.153,38193,Commercial Facilities
geo.net.pk,203.128.255.4,17557,Commercial Facilities
callcourier.com.pk,202.69.35.190,23750,Commercial Facilities
wasalhr.pk,116.58.43.34,17563,Commercial Facilities
simsim.pk,125.209.88.162,9260,Commercial Facilities
metroshoes.com.pk,203.124.33.162,7590,Commercial Facilities
jazztv.pk,119.160.12.30,45669,Commercial Facilities
ebill.pk,103.24.96.4,58895,Commercial Facilities
kpdata.gov.pk,103.240.220.75,136610,Information Technology
epads.gov.pk,59.103.225.210,17557,Information Technology
helloworld.pk,39.61.38.170,17557,Information Technology
pulse.gop.pk,110.38.226.26,38264,Information Technology
mepco-it.com.pk,163.61.25.23,153561,Energy
gepcoerp.com.pk,119.156.26.74,17557,Energy
tplpower.pk,182.180.170.186,17557,Energy
iesco.com.pk,210.56.28.14,7590,Energy
hesco.gov.pk,163.61.25.23,153561,Energy
islamabadairport.com.pk,59.103.225.172,17557,Transportation Systems
pakrail.gov.pk,43.250.84.104,23888,Transportation Systems
ubl.com.pk,202.61.46.202,23966,Financial Services
ztbl.com.pk,203.101.184.80,9541,Financial Services
