trace_id,day,time,Interval,hop_1,hop_2,hop_3,hop_4,hop_5,hop_6,hop_7,hop_8,hop_9,hop_10,hop_11,hop_12,hop_13
9228,15,10:14:59,After (~100ms),1.2,3.9,4.3,4.2,4.7,108.3,98.0,119.1,193.6,205.1,189.5,202.6,201.1
9235,15,10:29:47,After (~100ms),1.2,4.2,3.9,4.1,5.6,108.8,98.0,118.9,194.1,204.9,188.9,202.7,201.3
9243,15,10:44:48,After (~100ms),1.2,4.6,4.5,4.3,5.0,108.8,98.5,119.1,194.1,205.1,189.1,202.9,201.2
9251,15,10:59:47,After (~100ms),1.2,4.4,4.3,4.2,11.6,108.5,98.1,119.0,193.6,204.8,189.3,203.0,202.0
9259,15,11:14:58,After (~100ms),1.2,4.0,4.5,3.5,5.2,108.4,97.8,118.9,193.6,205.0,189.2,202.3,201.0
9267,15,11:29:50,After (~100ms),1.2,4.1,4.4,4.2,5.2,108.1,98.0,,193.7,205.0,190.2,202.9,201.1
9275,15,11:44:51,After (~100ms),1.3,4.1,4.3,4.2,5.2,108.6,98.2,119.0,194.2,205.0,189.5,202.4,201.3
9284,15,11:59:49,After (~100ms),1.3,4.1,4.3,4.3,5.0,109.4,100.4,120.0,196.1,205.9,191.7,204.9,203.2
9291,15,12:14:50,After (~100ms),1.3,4.2,4.4,4.3,5.0,111.1,100.3,120.4,196.4,206.0,192.0,204.6,203.4
8594,14,14:29:47,Before (~5ms),1.2,4.1,4.2,7.4,5.2,109.9,100.8,120.2,196.4,206.1,191.6,204.7,203.1
8604,14,14:44:57,Before (~5ms),1.2,4.0,4.2,4.2,4.9,110.0,100.5,119.9,196.3,206.1,191.3,205.3,203.7
8611,14,14:59:50,Before (~5ms),1.2,4.0,4.3,4.3,4.6,109.8,100.8,120.0,196.2,206.3,191.5,204.6,204.0
8620,14,15:14:58,Before (~5ms),1.4,4.2,4.2,4.5,5.7,109.8,100.5,120.4,195.7,206.3,191.7,205.1,203.7
8627,14,15:29:50,Before (~5ms),1.2,4.0,4.3,4.5,6.1,109.7,100.4,120.4,196.4,206.2,191.7,204.8,203.8
8635,14,15:44:57,Before (~5ms),1.4,4.4,4.4,4.3,6.9,110.0,100.6,120.5,196.3,206.4,191.5,204.6,203.4
8644,14,16:00:00,Before (~5ms),1.2,3.9,4.5,4.3,5.3,109.8,100.0,120.5,196.9,206.0,191.7,204.7,203.3
8652,14,16:14:59,Before (~5ms),1.2,4.4,4.7,4.4,22.4,110.0,100.6,119.9,196.1,205.9,191.8,204.8,203.9
8660,14,16:30:01,Before (~5ms),1.2,4.1,4.6,4.2,5.7,110.0,100.5,120.8,196.0,206.2,191.9,204.9,203.6
8668,14,16:45:00,Before (~5ms),1.2,4.2,4.3,4.3,19.0,110.0,100.4,120.2,196.6,206.0,191.9,204.8,203.3
8676,14,17:00:01,Before (~5ms),1.2,4.1,4.3,4.2,8.5,110.0,100.7,120.5,196.3,206.1,191.4,204.9,203.8
8683,14,17:14:55,Before (~5ms),1.2,4.4,4.4,4.2,6.8,110.7,100.4,120.2,196.1,205.9,191.8,205.0,203.4
8691,14,17:29:50,Before (~5ms),1.3,4.2,4.2,4.3,5.2,110.1,100.6,120.4,196.1,205.9,191.4,204.5,203.4
8700,14,17:44:57,Before (~5ms),1.2,4.2,4.9,4.4,4.9,110.0,100.7,120.4,196.8,205.8,191.8,204.9,203.4
8708,14,17:59:49,Before (~5ms),1.2,4.1,4.3,4.4,13.8,109.9,100.5,120.4,196.3,206.3,191.6,204.9,204.2
8715,14,18:14:51,Before (~5ms),1.2,4.2,4.3,4.3,8.6,111.1,100.3,119.9,196.3,206.1,191.4,204.9,203.2
8723,14,18:29:52,Before (~5ms),1.2,4.1,4.3,6.8,4.4,109.8,100.2,120.3,196.1,205.8,191.3,204.9,203.6
8732,14,18:44:48,Before (~5ms),1.4,4.1,4.5,4.3,10.4,109.0,100.9,120.3,196.7,206.0,191.4,205.0,203.7
8738,14,18:59:47,Before (~5ms),1.3,4.0,4.3,4.1,4.7,109.7,100.7,119.9,196.1,206.1,191.5,205.1,203.5
