day,time,Interval,hop_1,hop_2,hop_3,hop_4,hop_5,hop_6,hop_7,hop_8
15,10:13:05,After (240ms baseline),0.9,2.8,2.8,2.4,2.9,,4.1,3.7
15,10:27:56,After (240ms baseline),0.9,2.9,2.7,2.6,3.3,,4.0,3.6
15,10:42:58,After (240ms baseline),0.9,2.9,3.0,2.4,3.3,175.2,4.2,3.6
15,10:57:57,After (240ms baseline),1.0,3.0,2.9,2.3,3.2,81.9,4.1,3.4
15,11:12:58,After (240ms baseline),0.9,2.7,2.8,2.6,3.1,118.1,3.9,3.3
15,11:28:04,After (240ms baseline),0.9,2.8,2.5,2.5,3.1,120.5,3.6,2.9
15,11:43:05,After (240ms baseline),0.9,2.8,2.9,2.5,3.2,83.6,3.8,3.0
15,11:58:04,After (240ms baseline),1.1,2.8,2.9,2.5,3.2,119.4,3.6,3.0
15,12:12:55,After (240ms baseline),0.9,2.6,2.9,2.5,3.1,152.9,3.7,3.0
15,12:28:07,After (240ms baseline),1.0,3.0,2.8,2.1,3.1,82.4,3.8,3.0
15,12:42:56,After (240ms baseline),0.9,2.6,2.8,2.7,3.0,116.4,4.0,3.1
15,12:58:06,After (240ms baseline),0.9,2.7,2.9,2.6,3.2,166.1,3.5,3.1
15,13:13:02,After (240ms baseline),0.9,2.5,2.8,2.6,3.3,120.2,3.6,3.0
15,13:28:05,After (240ms baseline),0.9,2.6,2.8,2.4,3.1,118.1,3.8,2.9
15,13:43:02,After (240ms baseline),1.0,2.8,2.7,2.6,3.2,53.6,3.7,2.9
15,13:58:07,After (240ms baseline),0.9,3.4,7.8,2.7,3.2,127.4,3.6,3.0
15,14:12:59,After (240ms baseline),1.0,2.6,2.7,2.6,3.1,119.7,3.8,3.0
15,14:27:59,After (240ms baseline),1.0,2.6,2.8,2.6,3.0,134.1,3.8,3.0
15,14:42:55,After (240ms baseline),1.0,2.9,2.9,2.6,3.3,86.8,3.8,2.9
15,14:58:05,After (240ms baseline),0.9,2.7,2.9,2.3,2.9,145.7,3.6,3.0
15,15:12:59,After (240ms baseline),0.9,2.9,2.8,2.6,3.0,90.5,4.3,3.7
15,15:27:55,After (240ms baseline),0.9,2.7,3.1,2.6,2.9,446.1,4.3,3.2
15,15:43:01,After (240ms baseline),1.0,2.9,2.7,2.4,3.1,,4.6,3.4
15,15:58:06,After (240ms baseline),0.9,2.8,2.7,2.5,3.0,,4.4,3.7
15,16:13:06,After (240ms baseline),1.0,3.2,2.8,2.5,3.2,117.7,4.0,3.4
15,16:28:00,After (240ms baseline),0.9,2.8,3.0,2.6,2.9,,4.5,3.1
15,16:42:59,After (240ms baseline),1.0,2.5,2.8,2.2,3.2,,4.4,3.6
15,16:58:05,After (240ms baseline),0.9,2.8,2.7,2.4,3.4,,4.4,3.5
15,17:12:56,After (240ms baseline),0.9,2.7,3.0,2.5,3.3,,4.2,3.5
15,17:28:06,After (240ms baseline),1.0,2.8,2.7,2.6,3.5,,4.3,3.6
15,17:43:07,After (240ms baseline),0.8,2.5,3.0,2.5,3.6,,4.3,3.5
15,17:57:59,After (240ms baseline),0.9,2.8,2.8,2.7,3.0,,5.0,3.5
15,18:13:00,After (240ms baseline),0.7,2.4,2.4,2.3,3.1,,4.1,3.6
15,18:28:00,After (240ms baseline),1.0,2.6,2.6,2.4,3.2,,4.3,3.8
15,18:42:58,After (240ms baseline),0.8,2.8,2.7,2.5,3.2,,4.2,3.6
15,18:57:58,After (240ms baseline),1.0,2.3,2.8,2.4,3.4,119.8,4.0,3.5
15,19:13:04,After (240ms baseline),0.9,2.7,3.0,2.7,3.3,125.7,4.2,3.2
15,19:28:03,After (240ms baseline),0.8,2.8,2.8,2.6,3.2,76.6,3.7,2.9
15,19:43:06,After (240ms baseline),1.0,2.7,3.0,2.5,3.4,5.6,3.6,3.1
15,19:57:57,After (240ms baseline),1.0,3.2,3.0,2.6,2.9,114.1,3.7,3.0
15,20:13:09,After (240ms baseline),0.9,2.6,2.9,2.5,3.0,47.5,3.7,3.0
15,20:27:57,After (240ms baseline),0.7,2.7,3.0,2.4,3.0,74.9,3.6,3.1
15,20:43:07,After (240ms baseline),0.8,2.8,2.8,2.3,2.9,90.1,3.6,2.8
15,20:58:09,After (240ms baseline),0.9,2.6,2.8,2.5,2.8,59.4,3.4,3.1
15,21:13:07,After (240ms baseline),0.8,2.5,2.7,2.4,3.1,88.4,3.5,2.9
15,21:28:06,After (240ms baseline),0.7,2.9,3.1,2.7,3.5,29.6,3.7,2.6
15,21:43:03,After (240ms baseline),0.7,2.9,3.0,2.6,3.2,25.0,3.9,3.0
15,21:58:05,After (240ms baseline),1.0,2.3,3.0,2.6,3.2,106.6,3.6,3.1
15,22:13:06,After (240ms baseline),1.0,2.8,2.8,2.8,3.2,24.1,3.8,2.9
15,22:28:02,After (240ms baseline),0.8,2.8,2.6,2.4,3.3,6.6,3.3,3.0
15,22:42:58,After (240ms baseline),0.8,2.8,2.7,2.5,2.9,13.2,3.6,2.9
15,22:57:56,After (240ms baseline),1.0,2.9,2.9,2.5,3.2,10.5,3.3,3.1
15,23:12:55,After (240ms baseline),1.0,2.9,12.2,2.6,3.1,16.1,3.2,3.0
15,23:28:05,After (240ms baseline),0.9,2.7,2.9,2.5,2.7,13.0,12.2,3.2
15,23:43:00,After (240ms baseline),0.9,2.6,2.7,2.6,3.0,14.0,3.5,3.0
15,23:57:59,After (240ms baseline),1.0,2.7,2.8,2.5,3.0,12.0,3.6,3.0
14,14:28:07,Before (185ms baseline),0.9,2.8,2.9,2.6,3.5,118.2,3.6,3.1
14,14:43:09,Before (185ms baseline),0.8,2.6,3.1,2.6,2.1,117.3,3.8,3.0
14,14:58:04,Before (185ms baseline),0.7,2.7,3.2,2.7,3.2,12.5,3.8,3.0
14,15:13:06,Before (185ms baseline),1.1,2.8,2.7,2.5,3.3,15.3,3.7,2.9
14,15:27:55,Before (185ms baseline),0.9,2.8,2.8,2.5,3.1,6.9,3.7,3.3
14,15:43:09,Before (185ms baseline),0.9,2.8,2.9,2.5,2.9,82.2,4.1,3.1
14,15:58:03,Before (185ms baseline),0.9,3.0,3.1,2.5,3.1,118.3,3.8,3.4
14,16:13:00,Before (185ms baseline),1.0,2.7,2.9,2.5,3.1,5.2,4.2,3.5
14,16:28:07,Before (185ms baseline),0.9,2.7,2.7,2.6,3.1,121.3,2.9,3.1
14,16:43:08,Before (185ms baseline),0.9,2.6,3.0,2.3,3.5,89.5,4.3,2.7
14,16:57:56,Before (185ms baseline),0.9,2.9,3.0,2.4,3.2,,3.7,3.4
14,17:13:06,Before (185ms baseline),0.9,3.0,3.1,2.6,3.4,,4.6,3.5
14,17:28:00,Before (185ms baseline),0.8,2.8,2.8,2.6,3.1,,4.3,3.4
14,17:43:03,Before (185ms baseline),0.9,2.8,3.0,2.4,3.2,,4.4,3.2
14,17:58:04,Before (185ms baseline),0.9,2.7,3.0,2.7,3.0,,4.3,3.6
14,18:12:59,Before (185ms baseline),0.9,2.6,3.2,2.6,2.9,,4.7,3.6
14,18:28:04,Before (185ms baseline),0.9,2.7,2.9,2.6,3.4,,4.1,3.1
14,18:43:09,Before (185ms baseline),1.0,2.8,2.5,2.6,2.9,,4.2,3.4
