probe_name,target_hostname,median_rtt,mean_rtt,loss_pct,median_hops
cybernet.khi,geo.tv,5.2,15.7,0.1,7.0
cybernet.khi,dawn.com,5.2,15.6,0.0,7.0
cybernet.khi,express.com.pk,5.2,5.3,0.0,7.0
cybernet.khi,telemart.pk,5.2,5.2,0.0,7.0
cybernet.khi,daraz.pk,80.8,80.9,0.1,12.0
cybernet.khi,mcb.com.pk,111.2,111.1,0.0,12.0
cybernet.khi,nadra.gov.pk,153.9,159.4,0.4,16.0
cybernet.khi,hbl.com,203.7,203.6,0.0,13.0
cybernet.khi,dunyanews.tv,,,100.0,
cybernet.khi,fbr.gov.pk,,,100.0,
nayatel.isb,geo.tv,3.6,3.7,0.7,8.0
nayatel.isb,dawn.com,3.5,3.6,0.4,8.0
nayatel.isb,express.com.pk,3.5,3.6,0.5,8.0
nayatel.isb,telemart.pk,3.6,3.7,0.5,8.0
nayatel.isb,daraz.pk,113.4,108.4,0.3,16.0
nayatel.isb,mcb.com.pk,147.3,166.5,0.3,10.0
nayatel.isb,nadra.gov.pk,240.0,219.5,0.2,17.0
nayatel.isb,hbl.com,222.1,229.3,0.6,19.0
nayatel.isb,dunyanews.tv,,,100.0,2.0
nayatel.isb,fbr.gov.pk,,,100.0,1.0
cybernet.hrp,geo.tv,24.8,30.2,0.1,9.0
cybernet.hrp,dawn.com,24.8,31.5,0.1,9.0
cybernet.hrp,express.com.pk,24.9,24.8,0.1,9.0
cybernet.hrp,telemart.pk,24.9,24.8,0.1,9.0
cybernet.hrp,daraz.pk,179.9,180.1,0.1,
cybernet.hrp,mcb.com.pk,140.5,140.3,0.1,13.0
cybernet.hrp,nadra.gov.pk,176.1,178.5,0.3,18.0
cybernet.hrp,hbl.com,218.5,218.0,0.2,14.0
cybernet.hrp,dunyanews.tv,,,100.0,
cybernet.hrp,fbr.gov.pk,,,100.0,
zcom.lhe,geo.tv,17.5,18.0,0.2,6.0
zcom.lhe,dawn.com,17.3,17.8,0.1,6.0
zcom.lhe,express.com.pk,94.4,97.2,0.8,10.0
zcom.lhe,telemart.pk,94.3,97.7,1.2,10.0
zcom.lhe,daraz.pk,95.8,96.1,1.7,11.0
zcom.lhe,mcb.com.pk,134.5,135.9,0.0,11.0
zcom.lhe,nadra.gov.pk,169.2,170.4,0.2,13.0
zcom.lhe,hbl.com,217.8,218.6,0.2,15.0
zcom.lhe,dunyanews.tv,,,100.0,
zcom.lhe,fbr.gov.pk,,,100.0,
nova.lhe,geo.tv,19.8,24.5,0.5,7.0
nova.lhe,dawn.com,20.3,28.0,0.6,7.0
nova.lhe,express.com.pk,96.5,106.4,1.4,11.0
nova.lhe,telemart.pk,96.7,121.5,1.1,11.0
nova.lhe,daraz.pk,99.6,109.8,0.0,11.0
nova.lhe,mcb.com.pk,139.7,149.3,0.2,12.0
nova.lhe,nadra.gov.pk,172.6,180.6,0.3,14.0
nova.lhe,hbl.com,230.0,237.9,0.7,16.0
nova.lhe,dunyanews.tv,,,100.0,
nova.lhe,fbr.gov.pk,,,100.0,
transworld.lhe,geo.tv,24.4,25.0,0.5,
transworld.lhe,dawn.com,23.4,23.8,0.3,
transworld.lhe,express.com.pk,98.8,102.5,0.5,
transworld.lhe,telemart.pk,99.8,100.8,0.7,
transworld.lhe,daraz.pk,100.2,100.5,0.1,
transworld.lhe,mcb.com.pk,141.8,142.0,0.2,
transworld.lhe,nadra.gov.pk,181.8,182.5,0.1,
transworld.lhe,hbl.com,224.7,225.7,0.3,
transworld.lhe,dunyanews.tv,,,100.0,
transworld.lhe,fbr.gov.pk,,,100.0,
ptcl.lhe,geo.tv,22.6,22.9,76.5,
ptcl.lhe,dawn.com,136.3,137.0,74.5,
ptcl.lhe,express.com.pk,144.4,144.6,77.2,
ptcl.lhe,telemart.pk,135.3,135.9,75.2,
ptcl.lhe,daraz.pk,106.6,106.9,76.2,
ptcl.lhe,mcb.com.pk,112.5,112.9,74.3,
ptcl.lhe,nadra.gov.pk,301.1,301.2,75.1,3.0
ptcl.lhe,hbl.com,226.7,228.2,75.5,3.0
ptcl.lhe,dunyanews.tv,,,100.0,
ptcl.lhe,fbr.gov.pk,,,100.0,
ptcl.khi,geo.tv,26.3,28.1,0.1,7.0
ptcl.khi,dawn.com,283.0,284.7,6.0,10.0
ptcl.khi,express.com.pk,279.2,281.6,5.9,10.0
ptcl.khi,telemart.pk,275.0,276.7,5.3,10.0
ptcl.khi,daraz.pk,117.3,118.5,0.0,14.0
ptcl.khi,mcb.com.pk,207.1,209.2,0.0,8.0
ptcl.khi,nadra.gov.pk,243.0,244.5,0.2,17.0
ptcl.khi,hbl.com,212.1,213.2,0.2,15.0
ptcl.khi,dunyanews.tv,,,100.0,
ptcl.khi,fbr.gov.pk,,,100.0,
