domain,ip,asn,country,as_name,hosting_location
aa-networks.net,213.227.139.245,60781,NL,"LEASEWEB-NL-AMS-01 - LeaseWeb Netherlands B.V., NL",Abroad
www.airlinkcommunication.com,54.39.48.209,16276,CA,"OVH - OVH SAS, FR",Abroad
www.alpinesinternet.com.pk,104.21.20.170,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
www.urdupoint.com,172.67.68.78,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ascontel.net,74.208.236.77,8560,US,"IONOS-AS - IONOS SE, DE",Abroad
acn.net.pk,103.141.5.13,139302,PK,"ACNNETWORK-AS-AP - Ashiq Cable Network (Pvt.) Limited, PK",Local
badarnetworks.online,212.1.210.162,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
bignetbroadband.net,13.248.243.5,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
brain.net.pk,5.161.30.49,213230,DE,"HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE",Abroad
broadbandvision.net,156.67.75.8,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
en.dailypakistan.com.pk,212.95.63.9,28753,DE,"LEASEWEB-DE-FRA-10 - Leaseweb Deutschland GmbH, DE",Abroad
call2phone.com,104.21.72.235,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
developingtelecoms.com,77.72.2.95,12488,GB,"KRYSTAL - Krystal Hosting Ltd, GB",Abroad
cits.net.pk,107.161.23.11,3842,US,"RAMNODE - InMotion Hosting, Inc., US",Abroad
zong.com.pk,209.150.154.189,59257,PK,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",Local
cubexsweatherly.com,202.63.219.115,38584,PK,"CUBEXS-AS-AP - CubeXS Pvt Ltd, Internet Service Provider Pakistan, PK",Local
cyber.net.pk,203.101.172.72,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
darlink.pk,179.61.189.89,47583,AE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
dreamnet.com.pk,172.67.204.243,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
earthlinkbroadband.com,91.108.100.3,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
www.ebone.net.pk,104.21.90.63,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
stitch.withgoogle.com,142.251.38.46,15169,US,"GOOGLE - Google LLC, US",Abroad
www.fcnkasur.com,68.178.145.1,26496,US,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",Abroad
fastlinefiber.com.pk,65.109.33.18,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
fiber-beam.net,103.162.149.14,141711,PK,"FIBERBEAMPVTLTD-AS-AP - Fiber Beam Pvt Limited, PK",Local
fc.com.pk,103.221.247.122,131471,PK,"LOGINMEPVTLTD-AS-AP - Login.Me (Pvt) Ltd, PK",Local
fiberish.net.pk,172.67.210.147,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fibnex.com,66.45.245.11,19318,US,"IS-AS-1 - Interserver, Inc, US",Abroad
future-telecom.com,104.21.82.18,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
galaxy.net.pk,103.164.49.161,139879,PK,"GALAXY-AS-AP - Galaxy Broadband, PK",Local
ges.net.pk,103.18.243.3,58893,PK,"GESNET-AS-AP - Gemnet Enterprise Solutions Pvt Ltd, PK",Local
gerrys.net,202.69.33.8,23750,PK,"GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY PVT LTD., PK",Local
globalconnectsynergy.com,192.110.160.67,53755,US,"IOFLOOD - Input Output Flood LLC, US",Abroad
gnss.com.pk,85.232.242.130,15694,PL,"ATMAN-ISP-AS - Atman Sp. z o.o., PL",Abroad
helium.com.pk,88.198.23.203,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
incableinternet.com,66.29.153.161,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
kknetworks.com.pk,103.163.48.205,136969,PK,"KKNETWROK-AS-AP - KK Networks (Pvt) Ltd., PK",Local
jazz.com.pk,172.66.168.19,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
logi-tech.net,204.12.214.188,32097,US,"WII - WholeSale Internet, Inc., US",Abroad
lbi.net.pk,103.121.121.29,131275,PK,"LBPL-AS-AP - Logon Broadband Pvt. Limited, PK",Local
loomnet.com.pk,162.0.209.165,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
mtcl.com.pk,162.0.215.250,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
mcsol.com.pk,149.255.58.138,34931,GB,"AWARESOFT - Awareness Software Limited, GB",Abroad
multicityinternet.com,51.79.230.235,16276,CA,"OVH - OVH SAS, FR",Abroad
muxbroadband.com,217.21.90.88,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
nasstecairnet.net.pk,199.188.201.205,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
nayatel.com,124.109.50.84,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
www.techjuice.pk,173.208.55.142,205544,GB,"LEASEWEB-UK-LON-11 - Leaseweb UK Limited, GB",Abroad
netelastic.com.pk,66.45.245.11,19318,US,"IS-AS-1 - Interserver, Inc, US",Abroad
netflow.com.pk,138.201.222.163,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
nexcom.net.pk,91.108.101.165,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
nuinternet.com.pk,51.89.40.116,16276,FR,"OVH - OVH SAS, FR",Abroad
originnet.com.pk,91.99.231.61,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
pace-tel.com,45.82.65.94,49981,NL,"WorldStream - WorldStream B.V., NL",Abroad
pakdatacom.com.pk,104.21.49.120,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pbb.net.pk,198.54.116.121,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
primebroadband.net.pk,185.146.167.198,48254,GB,"TWENTYI - 20i Limited, GB",Abroad
rds.net.pk,172.67.68.166,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
reliance-broadband.net,198.54.115.91,22612,US,"NAMECHEAP-NET - Namecheap, Inc., US",Abroad
satcomm.pk,202.143.126.16,38713,PK,"CONNECT2B-AS-PK - Broadband ISP, FTTH and Cable Service Provider, PK",Local
shahramteleco.pk,167.86.94.12,51167,DE,"CONTABO - Contabo GmbH, DE",Abroad
sharptel.pk,88.198.68.137,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
smarttel.com.pk,23.128.129.134,395734,US,"YLINX - YLINX, LLC, US",Abroad
smart-net.org,104.21.6.216,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sparklinks.pk,37.27.111.123,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
ses.net.pk,192.250.235.74,204800,GB,"WHG-SGP - WHG Hosting Services Ltd, GB",Abroad
superfast.net.pk,66.45.245.11,19318,US,"IS-AS-1 - Interserver, Inc, US",Abroad
supernetglobal.com,203.130.2.162,24435,PK,"SUPERNET-PAKISTAN-AS-AP - Supernet Limited Transit Autonomous System Number, PK",Local
teleco-solutions.com,210.2.169.190,23966,PK,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",Local
nexlinx.net.pk,202.59.80.26,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
tw1.com,162.159.136.54,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nova.net.pk,104.21.25.16,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
wateen.com,91.108.117.126,47583,DE,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
topcity-1.com,101.50.107.196,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
worldcall.net.pk,156.67.75.8,47583,CY,"AS-HOSTINGER - Hostinger International Limited, CY",Abroad
upnet.com.pk,103.186.78.10,149788,PK,"UPNET-AS-AP - UPNET (PRIVATE) LIMITED, PK",Local
wancom.net.pk,104.21.6.94,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
waylink.com.pk,94.136.168.173,42831,GB,"UKSERVERS-AS - UK Dedicated Servers Limited, GB",Abroad
wcpl.com.pk,15.204.150.217,16276,US,"OVH - OVH SAS, FR",Abroad
winet.com.pk,76.76.21.21,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
worldcall.pk,117.102.19.21,38710,PK,"WORLDCALL-AS-LHR - Worldcall Broadband Limited, PK",Local
xfiber.pk,95.217.116.67,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
xtreamfiber.net.pk,104.21.52.162,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ylinx.pk,172.67.218.186,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
