Domain,IP,ASN,CISA Sector
vu.edu.pk,58.27.231.136,38264,Education
pitc.com.pk,163.61.25.12,153561,Government Services & Facilities
punjabpolice.gov.pk,103.226.216.152,59323,Government Services & Facilities
punjab.gov.pk,103.226.216.120,59323,Government Services & Facilities
aiou.edu.pk,45.64.25.46,45773,Education
weboc.gov.pk,175.107.219.203,9541,Government Services & Facilities
ntc.net.pk,203.101.184.82,9541,Communications
cyber.net.pk,203.101.172.72,9541,Communications
psca.gop.pk,103.119.125.20,138019,Government Services & Facilities
zong.com.pk,209.150.154.189,59257,Communications
hec.gov.pk,111.68.100.163,45773,Education
fbr.gov.pk,103.125.60.60,138424,Government Services & Facilities
mofa.gov.pk,43.250.84.145,23888,Government Services & Facilities
pu.edu.pk,111.68.103.27,45773,Education
connect.net.pk,115.42.65.248,132165,Communications
pta.gov.pk,175.107.60.231,23888,Government Services & Facilities
pesrp.edu.pk,116.58.56.30,17563,Education
nu.edu.pk,203.124.44.78,7590,Education
cpsp.edu.pk,111.68.111.15,45773,Education
dgip.gov.pk,43.250.84.159,23888,Government Services & Facilities
digiskills.pk,58.27.231.139,38264,Education
fia.gov.pk,43.250.84.226,23888,Government Services & Facilities
pshealthpunjab.gov.pk,116.58.20.78,17563,Healthcare & Public Health
kp.gov.pk,175.107.63.150,23888,Government Services & Facilities
fpsc.gov.pk,43.250.84.65,23888,Government Services & Facilities
punjab-zameen.gov.pk,160.22.38.22,152890,Government Services & Facilities
njp.gov.pk,175.107.60.230,23888,Government Services & Facilities
ep.gov.pk,124.109.52.82,23674,Government Services & Facilities
bisemultan.edu.pk,119.160.107.135,45669,Education
ppsc.gop.pk,103.111.161.187,59323,Government Services & Facilities
comsats.net.pk,210.56.11.242,7590,Education
pts.org.pk,175.107.240.161,9541,Education
cll.com.pk,202.59.76.254,17563,Healthcare & Public Health
cxtreme.pk,203.101.172.157,9541,Communications
dmasti.pk,103.24.96.62,58895,Commercial Facilities
excise.gos.pk,59.103.225.21,17557,Government Services & Facilities
pave.gov.pk,103.111.160.216,59323,Government Services & Facilities
pefsis.edu.pk,119.159.228.205,17557,Education
sims.pk,115.186.173.250,23674,Commercial Facilities
pitb.gov.pk,103.226.216.151,59323,Information Technology
iqra.edu.pk,103.138.162.150,139024,Education
kkn.com.pk,103.115.197.73,152605,Communications
qau.edu.pk,111.68.96.51,45773,Education
joinanf.pk,43.250.84.129,23888,Government Services & Facilities
mepco-it.com.pk,163.61.25.23,153561,Energy
bahria.edu.pk,111.68.99.6,45773,Education
multi.net.pk,202.141.239.210,9260,Communications
psw.gov.pk,165.99.181.23,153932,Information Technology
nexlinx.net.pk,202.59.80.26,17563,Communications
pieas.edu.pk,111.68.99.215,45773,Education
logon.com.pk,103.121.121.29,131275,Communications
pulse.gop.pk,110.38.226.26,38264,Information Technology
bbise.edu.pk,58.27.241.186,38264,Education
ptcl.com.pk,221.120.226.61,17557,Communications
