domain,ip,status
star-telecom74.ru,92.38.92.1,EXISTS (HTTP 200)
aa-networks.net,213.227.139.245,EXISTS (HTTP 200)
www.airlinkcommunication.com,54.39.48.209,EXISTS (HTTP 200)
airmax.com.pk,103.123.112.6,"EXISTS (DNS only, HTTP failed)"
www.alpinesinternet.com.pk,104.21.20.170,EXISTS (HTTP 200)
www.urdupoint.com,104.26.7.27,EXISTS (HTTP 403)
ascontel.net,74.208.236.77,EXISTS (HTTP 200)
acn.net.pk,103.141.5.13,EXISTS (HTTP 200)
aitqta.net.pk,91.239.146.172,"EXISTS (DNS only, HTTP failed)"
badarnetworks.online,212.1.210.162,EXISTS (HTTP 200)
balitelecom.net,217.21.77.213,EXISTS (HTTP 200)
bigdata.net.pk,82.25.102.139,EXISTS (HTTP 200)
bignetbroadband.net,13.248.243.5,EXISTS (HTTP 200)
blazeoptics.pk,,FAILED
brain.net.pk,5.161.30.49,EXISTS (HTTP 200)
broadbandvision.net,156.67.75.8,EXISTS (HTTP 200)
en.dailypakistan.com.pk,212.95.63.9,EXISTS (HTTP 200)
cactuspk.com,192.185.56.104,EXISTS (HTTP 406)
call2phone.com,104.21.72.235,EXISTS (HTTP 200)
celmoretech.com,202.165.228.20,"EXISTS (DNS only, HTTP failed)"
developingtelecoms.com,77.72.2.95,EXISTS (HTTP 200)
cits.net.pk,107.161.23.11,EXISTS (HTTP 200)
zong.com.pk,209.150.154.189,EXISTS (HTTP 200)
connect.net.pk,115.42.65.248,EXISTS (HTTP 200)
crystal-lite.net,,FAILED
cubexsweatherly.com,202.63.219.115,EXISTS (HTTP 200)
cyber.net.pk,203.101.172.72,EXISTS (HTTP 200)
darlink.pk,91.108.100.89,EXISTS (HTTP 200)
deltatelecom.net.pk,144.79.156.240,EXISTS (HTTP 200)
dreamnet.com.pk,104.21.50.109,EXISTS (HTTP 200)
ebonenet.com,103.24.96.102,"EXISTS (DNS only, HTTP failed)"
earthlinkbroadband.com,77.37.48.31,EXISTS (HTTP 200)
www.ebone.net.pk,172.67.153.165,EXISTS (HTTP 200)
stitch.withgoogle.com,142.251.38.46,EXISTS (HTTP 200)
enigmafiber.com,198.177.120.55,EXISTS (HTTP 200)
www.fcnkasur.com,68.178.145.1,EXISTS (HTTP 200)
fariya.com,92.62.253.129,EXISTS (HTTP 200)
fastlinefiber.com.pk,65.109.33.18,EXISTS (HTTP 200)
fastweb.com.pk,72.29.80.175,EXISTS (HTTP 200)
fasttel.com.pk,198.54.115.46,"EXISTS (DNS only, HTTP failed)"
fiber2home.pk,,FAILED
fiber-beam.net,103.162.149.14,EXISTS (HTTP 200)
fc.com.pk,103.221.247.122,EXISTS (HTTP 200)
fiberish.net.pk,104.21.37.163,EXISTS (HTTP 200)
fibnex.com,66.45.245.11,EXISTS (HTTP 200)
future-telecom.com,104.21.82.18,EXISTS (HTTP 200)
galaxy.net.pk,103.164.49.161,EXISTS (HTTP 200)
ges.net.pk,103.18.243.3,EXISTS (HTTP 200)
gerrys.net,202.69.33.8,EXISTS (HTTP 200)
globalconnectsynergy.com,192.110.160.67,"EXISTS (DNS only, HTTP failed)"
gnss.com.pk,85.232.242.130,EXISTS (HTTP 200)
gulfcablenetwork.com,192.64.119.72,EXISTS (HTTP 200)
hccnp.net.pk,192.185.117.205,EXISTS (HTTP 406)
helium.com.pk,88.198.23.203,EXISTS (HTTP 200)
iweb.net.pk,64.31.40.162,"EXISTS (DNS only, HTTP failed)"
incableinternet.com,66.29.153.161,EXISTS (HTTP 200)
insta.com.pk,69.10.62.58,"EXISTS (DNS only, HTTP failed)"
jk-networks.com,162.255.119.165,EXISTS (HTTP 200)
khantelecom.net,217.21.77.213,EXISTS (HTTP 200)
kknetworks.com.pk,103.163.48.205,EXISTS (HTTP 200)
lahoreinternetsolutions.com,,FAILED
link2netsolutions.com,208.109.231.80,EXISTS (HTTP 200)
jazz.com.pk,104.20.42.250,EXISTS (HTTP 200)
logi-tech.net,204.12.214.188,EXISTS (HTTP 200)
lbi.net.pk,103.121.121.29,EXISTS (HTTP 200)
loomnet.com.pk,162.0.209.165,EXISTS (HTTP 200)
mzy.net.pk,,FAILED
