domain,ip,asn,country,as_name,hosting_location
vu.edu.pk,58.27.231.136,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Local
pitc.com.pk,163.61.25.12,153561,PK,"PITC1-AS-AP - PITC, PK",Local
google.com.pk,142.250.67.3,15169,US,"GOOGLE - Google LLC, US",Abroad
daraz.pk,47.246.167.168,45102,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",Abroad
jang.com.pk,104.17.16.38,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
saya.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
priceoye.pk,104.20.35.152,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
punjabpolice.gov.pk,103.226.216.152,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
sapphireonline.pk,64.68.202.16,16686,CA,"EDNS - easyDNS Technologies, Inc., CA",Abroad
ogomovies1.com.pk,188.114.97.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bisp.gov.pk,188.114.96.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
olx.com.pk,13.35.202.103,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
tribune.com.pk,104.18.193.13,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
limelight.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
punjab.gov.pk,103.226.216.120,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Local
fbise.edu.pk,104.26.15.233,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
thenews.com.pk,104.17.71.37,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
nadra.gov.pk,2.19.193.138,20940,NL,"AKAMAI-ASN1 - Akamai International B.V., NL",CDN
aiou.edu.pk,45.64.25.46,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
streamed.pk,185.178.208.164,57724,RU,"DDOS-GUARD - DDOS-GUARD LTD, RU",Abroad
whatmobile.com.pk,172.67.68.213,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
beechtree.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
watch-movies.com.pk,172.67.73.25,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
stylo.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
weboc.gov.pk,175.107.219.203,24440,PK,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",Local
nationalbroadband.pk,104.26.0.105,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
npftas.pk,104.26.6.75,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
propakistani.pk,104.26.13.229,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ntc.net.pk,203.101.184.82,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
pknic.pk,127.0.0.1,NA,,NA,Abroad
cyber.net.pk,203.101.172.72,9541,PK,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",Local
moviebox.pk,13.224.236.122,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
dailytimes.com.pk,172.67.71.216,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pakistantoday.com.pk,104.21.15.216,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
psca.gop.pk,103.119.125.20,138019,PK,"PSCA-AS-AP - Punjab Safe City Authority, PK",Local
nation.com.pk,65.109.88.147,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
defence.pk,188.114.96.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
zong.com.pk,209.150.154.189,59257,PK,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",Local
hec.gov.pk,111.68.100.163,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
pectaa.edu.pk,192.250.227.80,36454,GB,"WHG-DAL - WHG Hosting Services Ltd, GB",Abroad
8thclassresults2026.pk,172.67.200.125,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
lums.edu.pk,10.99.0.24,NA,,NA,Abroad
jazz.com.pk,172.66.168.19,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fbr.gov.pk,103.125.60.60,138424,PK,"FBR-AS-AP - Federal Board of Revenue, PK",Local
rozee.pk,104.26.14.193,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dailypakistan.com.pk,65.109.77.254,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
mofa.gov.pk,43.250.84.145,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
foodpanda.pk,104.18.33.30,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pu.edu.pk,111.68.103.27,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
connect.net.pk,115.42.65.248,132165,PK,"CONNECT-AS-AP - Connect Communications, PK",Local
nust.edu.pk,172.67.68.211,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
laam.pk,34.117.146.224,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
comsats.edu.pk,104.26.4.229,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pta.gov.pk,175.107.60.231,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
annas-archive.pk,186.2.163.174,59692,AE,"IQWEB - IQWeb FZ-LLC, AE",Abroad
psx.com.pk,52.128.23.16,19324,US,"DOSARREST - Dosarrest Internet Security LTD, US",Abroad
host.com.pk,192.185.184.25,31898,US,"ORACLE-BMC-31898 - Oracle Corporation, US",Abroad
pesrp.edu.pk,116.58.56.30,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
marham.pk,104.26.8.204,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
express.pk,104.17.205.75,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
scentsnstories.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
freelancer.pk,52.7.46.22,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
naheed.pk,52.50.40.211,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
superior.edu.pk,104.21.73.144,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
siasat.pk,104.21.5.69,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
jazzcash.com.pk,172.67.70.2,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bunkr.pk,91.149.226.80,201744,PL,"ByteFlare - ByteFlare LTD, SC",Abroad
nu.edu.pk,203.124.44.78,7590,PK,"COMSATS - Commission on Science and Technology for, PK",Local
cpsp.edu.pk,111.68.111.15,45773,PK,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",Local
uol.edu.pk,104.20.28.249,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
chasevalue.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
uhs.edu.pk,172.67.167.225,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ucp.edu.pk,162.159.135.42,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
plinko.pk,104.21.5.35,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
alfatah.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
express.com.pk,104.21.72.31,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
usindh.edu.pk,176.9.92.94,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
nutrifactor.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
dgip.gov.pk,43.250.84.159,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
digiskills.pk,58.27.231.139,38264,PK,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",Local
beoe.gov.pk,172.67.73.146,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
fia.gov.pk,43.250.84.226,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
dvago.pk,188.114.96.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
sastaticket.pk,172.67.68.79,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
banuri.edu.pk,172.67.204.164,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
pshealthpunjab.gov.pk,116.58.20.78,17563,PK,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",Local
mariab.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
kp.gov.pk,175.107.63.150,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
fpsc.gov.pk,43.250.84.65,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
mistore.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
postex.pk,172.66.155.108,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
saeedghani.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
punjab-zameen.gov.pk,160.22.38.22,152890,PK,"PLRA-AS-AP - Punjab Land Records Authority, PK",Local
njp.gov.pk,175.107.60.230,23888,PK,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",Local
outfitters.com.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
tes.com.pk,162.159.136.54,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
bata.com.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
highfy.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
preetpret.pk,23.227.38.65,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
topup.pk,148.222.71.20,58521,SG,"GARENA-SG - Garena Online Pte Ltd, SG",Abroad
crossstitch.pk,23.227.38.32,13335,CA,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
ep.gov.pk,124.109.52.82,23674,PK,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",Local
cust.edu.pk,162.159.135.42,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
