date,domain,query_type,ip,reverse_dns,os,asn,as_name,country,city,software,services,matched_field,matched_value,match_port,cert_not_after,is_pk_asn,verdict,notes,domain_summary
2026-09-22,777sxgameapp.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,588wingames.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,apkzone.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,enic.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact and wildcard both empty),
2026-09-22,hopkicks.pk,exact_or_subdomain,65.109.64.109,hopkicks.qaaf.cloud,Canonical Linux,24940,HETZNER-AS - Hetzner Online GmbH,FI,"Helsinki, Uusimaa",,"21/FTP, 22/SSH, 80/HTTP, 443/HTTP, 2082/HTTP, 2083/HTTP, 2086/HTTP, 2087/HTTP, 8443/HTTP",host.services.cert.parsed.subject.common_name,www.hopkicks.pk,443,,FALSE,confirmed abroad only,"Same IP already on file in targets_corrected.csv as this site's Abroad IP. Shared cPanel/WHM reseller hosting box, no Pakistani ASN involved. Identical single hit on both exact and wildcard query.",
2026-09-22,hostpro.com.pk,exact_or_subdomain,,,,,,,,,,,,,,,,no cert found in Censys (exact query empty, wildcard not run),
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.4,,Canonical Linux,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","Openbsd Openssh, Apache Http Server, Postgresql","22/SSH, 80/HTTP, 5432/POSTGRES, 443/HTTP, 2000/HTTP",host.services.cert.parsed.subject.common_name,ipanel.insta.com.pk,"443, 5432",,TRUE,confirmed real PK infra,"Site's own ISP operational infra (INSTACOM Pvt Ltd, AS138368, Multan) - distinct from the public website which is hosted abroad at 69.10.62.58 (NJ). Part of a 7-IP block on the same ASN, see other rows for insta.com.pk.","7 IPs found (103.131.215.2/4/5/6/9/13/14), all AS138368 INSTACOM Pvt Ltd, Multan PK. Subdomains read as an ISP's internal stack (customer panel, RADIUS auth, VPN panel, tech support console, speed test), not a CDN-masked origin. Exact and wildcard queries returned the identical set, no separate wildcard cert exists."
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.5,,Canonical Linux,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab",Openbsd Openssh,"22/SSH, 5060/HTTP, 8080/HTTP",host.services.cert.parsed.subject.common_name,speed.insta.com.pk,"5060, 8080",,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.6,,Canonical Linux,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","Openbsd Openssh, Apache Http Server, Express, Postgresql","22/SSH, 80/HTTP, 5432/POSTGRES, 443/HTTP, 2000/HTTP",host.services.cert.parsed.subject.common_name,ipanel2.insta.com.pk,"443, 5432",,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
2026-09-22,insta.com.pk,exact_or_subdomain,103.131.215.2,,,138368,INSTACOMPVTLTD-AS-AP - INSTACOM Pvt. LTD,PK,"Multan, Punjab","Openbsd Openssh, Python","22/SSH, 4081/HTTP, 4082/HTTP, 4083/HTTP, 4084/HTTP, 4085/HTTP, 5901-5907/VNC, 5911/VNC, 5912/VNC",host.services.cert.parsed.subject.common_name,clouds.insta.com.pk,"4081, 4083, 4085",,TRUE,confirmed real PK infra,See insta.com.pk domain_summary on first row.,
