tranco_rank,domain,ip
10918,vu.edu.pk,58.27.231.136
13428,aiou.edu.pk,45.64.25.46
15755,punjab.gov.pk,103.226.216.120
22523,weboc.gov.pk,175.107.219.203
27376,cyber.net.pk,203.101.172.72
29528,ntc.net.pk,203.101.184.82
34716,pu.edu.pk,111.68.103.27
36984,zong.com.pk,209.150.154.189
41417,connect.net.pk,115.42.65.248
42527,hec.gov.pk,111.68.100.163
44989,gerrys.net,202.69.33.8
45910,ppsc.gop.pk,103.111.161.187
46140,mora.gov.pk,43.250.84.202
46414,fbr.gov.pk,103.125.60.60
51184,mofa.gov.pk,43.250.84.145
51622,pitb.gov.pk,103.226.216.151
55995,lums.edu.pk,110.93.234.24
58607,tamashaweb.com,119.160.12.44
59492,pta.gov.pk,175.107.60.231
78310,dgip.gov.pk,43.250.84.159
79412,punjab-zameen.gov.pk,160.22.38.22
80044,fpsc.gov.pk,43.250.84.65
80912,kp.gov.pk,175.107.63.150
80932,lesco.gov.pk,116.58.54.125
84230,njp.gov.pk,175.107.60.230
84512,kpese.gov.pk,175.107.63.111
86688,ep.gov.pk,124.109.52.82
87628,stormfiber.com,203.101.172.139
90901,cinepax.com,103.249.155.209
92344,cll.com.pk,125.209.70.164
95254,uaf.edu.pk,203.124.33.162
101588,iqra.edu.pk,103.138.162.150
102122,pmdc.pk,175.107.60.117
102355,pshealthpunjab.gov.pk,116.58.20.78
104378,comsats.net.pk,210.56.11.242
105072,gepco.com.pk,163.61.25.23
105330,ebonenet.com,103.24.96.102
108402,etea.edu.pk,115.167.74.9
109213,cuecinemas.com,202.141.242.194
109512,mes.gov.pk,210.56.8.62
109746,sts.org.pk,103.152.255.113
109816,universalcinemas.com,103.69.111.99
112639,pesrp.edu.pk,116.58.56.30
118877,kohat.edu.pk,121.52.146.165
120076,nexlinx.net.pk,202.59.80.26
120424,comsats.edu.pk,210.56.11.242
128699,numl.edu.pk,111.68.97.117
133084,vidfree.net,160.250.115.204
138267,magsnet.net,202.5.128.24
139401,sco.gov.pk,118.107.140.9
142399,jazzdsp.com,119.160.105.35
142515,bahria.edu.pk,111.68.99.6
145088,jazztv.pk,119.160.13.28
145939,multi.net.pk,202.141.239.210
150863,ptcl.com.pk,221.120.226.61
154247,ufone.com,59.103.225.37
155232,dunya.com.pk,117.20.18.153
156252,careerjobs2381.com.pk,110.93.207.74
156639,sindhzameen.gos.pk,202.83.173.42
156713,upaisa.com,59.103.236.34
164949,psw.gov.pk,165.99.181.23
175561,bnu.edu.pk,175.111.3.156
176755,nwnetworks.net.pk,110.93.213.3
184893,pmyp.gov.pk,43.250.84.153
189638,eobi.gov.pk,210.56.16.59
190668,pieas.edu.pk,111.68.99.215
191688,uop.edu.pk,121.52.147.10
194171,joinpakarmy.gov.pk,210.56.0.3
197122,savings.gov.pk,175.107.33.91
197389,islamabadpolice.gov.pk,43.250.84.139
197753,fesco.com.pk,163.61.25.38
204981,netsolir.com,203.170.71.15
208056,kkn.com.pk,103.115.197.73
211861,asktech.com.pk,115.186.131.242
213313,ahpc.org.pk,203.124.33.162
214259,dakkhana.com.pk,58.65.161.24
214938,gepcoerp.com.pk,119.156.26.74
215847,lmis.gov.pk,202.83.164.75
216134,mepco-it.com.pk,163.61.25.23
216430,nation.net.pk,115.42.65.245
216779,pave.gov.pk,103.111.160.216
217050,pts.org.pk,175.107.240.161
223403,dunyatv.tv,103.73.234.47
223483,na.gov.pk,175.107.60.12
224439,4-pc-network.com,203.128.0.1
228173,bisemultan.edu.pk,119.160.107.135
231183,bisesargodha.edu.pk,223.123.65.114
232367,paf.gov.pk,175.107.60.225
241070,middlehosted.com,182.186.29.56
243698,joinpaf.gov.pk,175.107.33.101
244297,bisebwp.pk,221.120.217.252
247172,uetpeshawar.edu.pk,121.52.147.74
248272,brain.net.pk,203.128.7.14
256077,blinkbroadband.pk,103.121.121.29
256809,pef.edu.pk,202.83.171.5
256848,jazzesl.com.pk,115.186.182.194
263201,maju.edu.pk,58.27.134.39
263280,metacubes.net,110.93.208.154
263749,psosahulat.com.pk,202.61.112.30
266958,super.net.pk,203.130.2.162
