tranco_rank,domain,ip,network,city_probe_60223,city_probe_7613,max_rtt_ms_60223,max_rtt_ms_7613,foreign_hops_60223,foreign_hops_7613
10918,vu.edu.pk,58.27.231.136,WATEEN-IMS-PK-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",23.594,1.682,,
13428,aiou.edu.pk,45.64.25.46,HECPERN-AS-PK,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",10.537,38.715,,
15755,punjab.gov.pk,103.226.216.120,PITB-PUNJAB-PK,"Lahore, Punjab, PK","Lahore, Punjab, PK",26.511,16.996,,
22523,weboc.gov.pk,175.107.219.203,CYBERNET-APII,"Karachi, Sindh, PK","Karachi, Sindh, PK",31.583,96.315,,
27376,cyber.net.pk,203.101.172.72,CYBERNET-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",23.84,100.705,,
29528,ntc.net.pk,203.101.184.82,CYBERNET-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",3.871,280.335,,SG>NL>US
34716,pu.edu.pk,111.68.103.27,HECPERN-AS-PK,"Lahore, Punjab, PK","Lahore, Punjab, PK",23.541,20.366,,
36984,zong.com.pk,209.150.154.189,CMPAKLIMITED-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.346,42.414,US,US
41417,connect.net.pk,115.42.65.248,CONNECT-AS-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",23.717,18.545,,
42527,hec.gov.pk,111.68.100.163,HECPERN-AS-PK,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",6.41,37.603,,
44989,gerrys.net,202.69.33.8,GERRYS-AS-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",27.107,23.431,,
45910,ppsc.gop.pk,103.111.161.187,PITB-PUNJAB-PK,"Lahore, Punjab, PK","Lahore, Punjab, PK",37.509,11.255,,
46140,mora.gov.pk,43.250.84.202,NTC-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.572,40.906,,
46414,fbr.gov.pk,103.125.60.60,FBR-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",3.374,39.312,,
51184,mofa.gov.pk,43.250.84.145,NTC-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.446,37.086,,
51622,pitb.gov.pk,103.226.216.151,PITB-PUNJAB-PK,"Lahore, Punjab, PK","Lahore, Punjab, PK",28.708,4.018,,
55995,lums.edu.pk,110.93.234.24,TWA-AS-AP,"Model Town, Punjab, PK","Model Town, Punjab, PK",41.897,4.173,,
58607,tamashaweb.com,119.160.12.44,Mobilink-AS-PK,"Shahpur Chakar, Sindh, PK","Shahpur Chakar, Sindh, PK",38.279,1.384,,
59492,pta.gov.pk,175.107.60.231,NTC-AS-AP,"Rawalpindi, Punjab, PK","Rawalpindi, Punjab, PK",4.739,41.449,,
65058,chametw.com,111.119.162.220,CONNECT-AS-AP,"Tando Adam, Sindh, PK","Tando Adam, Sindh, PK",24.962,21.249,,
78310,dgip.gov.pk,43.250.84.159,NTC-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",13.94,37.179,,
79412,punjab-zameen.gov.pk,160.22.38.22,PLRA-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",41.796,23.641,,
80044,fpsc.gov.pk,43.250.84.65,NTC-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.495,50.846,,
80912,kp.gov.pk,175.107.63.150,NTC-AS-AP,"Rawalpindi, Punjab, PK","Rawalpindi, Punjab, PK",6.808,42.435,,
80932,lesco.gov.pk,116.58.54.125,NEXLINX-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",17.625,3.454,,
84230,njp.gov.pk,175.107.60.230,NTC-AS-AP,"Rawalpindi, Punjab, PK","Rawalpindi, Punjab, PK",6.948,40.619,,
84512,kpese.gov.pk,175.107.63.111,NTC-AS-AP,"Rawalpindi, Punjab, PK","Rawalpindi, Punjab, PK",11.552,42.724,,
86688,ep.gov.pk,124.109.52.82,NAYATEL-PK,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.204,37.515,,
87628,stormfiber.com,203.101.172.139,CYBERNET-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",23.942,97.825,,
90901,cinepax.com,103.249.155.209,ASN-NCKHI-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",42.599,4.263,NL,NL
92344,cll.com.pk,125.209.70.164,MULTINET-AS-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",22.837,1.409,,
92476,dmasti.pk,103.24.96.62,EBONE1-PK,"Karachi, Sindh, PK","Karachi, Sindh, PK",48.15,17.77,US,US
94041,sims.pk,115.186.173.250,NAYATEL-PK,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.346,36.281,,
95254,uaf.edu.pk,203.124.33.162,COMSATS,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",9.092,41.574,,
101588,iqra.edu.pk,103.138.162.150,IQRAUNIVERSITY-AS-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",24.1,20.936,,
102122,pmdc.pk,175.107.60.117,NTC-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",5.891,48.701,,
102355,pshealthpunjab.gov.pk,116.58.20.78,NEXLINX-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",22.33,18.221,,
104378,comsats.net.pk,210.56.11.242,COMSATS,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.065,39.917,,
105072,gepco.com.pk,163.61.25.23,PITC1-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",51.809,11.45,US,US
105330,ebonenet.com,103.24.96.102,EBONE1-PK,"Karachi, Sindh, PK","Karachi, Sindh, PK",23.473,20.613,US,US
108402,etea.edu.pk,115.167.74.9,WITRIBE-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",43.07,2.746,,
109213,cuecinemas.com,202.141.242.194,MULTINET-AS-AP,"Karachi, Sindh, PK","Karachi, Sindh, PK",16.947,6.859,,
109512,mes.gov.pk,210.56.8.62,COMSATS,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",8.689,40.132,,
109746,sts.org.pk,103.152.255.113,MULTINET-IE-AS-AP,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",24.102,44.365,,
109816,universalcinemas.com,103.69.111.99,LDN-AS-PK,"Lahore, Punjab, PK","Lahore, Punjab, PK",46.405,83.797,,
112639,pesrp.edu.pk,116.58.56.30,NEXLINX-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",18.112,1.542,,
118877,kohat.edu.pk,121.52.146.165,HECPERN-AS-PK,"Kohat, Khyber Pakhtunkhwa, PK","Kohat, Khyber Pakhtunkhwa, PK",7.54,41.215,,
120076,nexlinx.net.pk,202.59.80.26,NEXLINX-AS-AP,"Lahore, Punjab, PK","Lahore, Punjab, PK",16.833,1.332,,
120424,comsats.edu.pk,210.56.11.242,COMSATS,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",3.75,40.491,,
128699,numl.edu.pk,111.68.97.117,HECPERN-AS-PK,"Islamabad, Islamabad, PK","Islamabad, Islamabad, PK",4.043,41.342,,
