rank,domain,ahrefs_category,ip,asn,country,as_name,infra_type
1,youtube.com,Entertainment,142.250.202.174,15169,US,"GOOGLE - Google LLC, US",Hyperscaler
2,chatgpt.com,Computers & Electronics,172.64.155.209,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
3,wikipedia.org,Reference,103.102.166.224,14907,US,"WIKIMEDIA - Wikimedia Foundation Inc., US",Abroad
4,cricinfo.com,Sports,13.213.108.63,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
5,google.com,Internet & Telecom,142.250.202.238,15169,US,"GOOGLE - Google LLC, US",Hyperscaler
6,facebook.com,Online Communities,57.144.148.1,32934,IE,"FACEBOOK - Facebook, Inc., US",Hyperscaler
7,instagram.com,Online Communities,57.144.148.34,32934,IE,"FACEBOOK - Facebook, Inc., US",Hyperscaler
8,whatsapp.com,Internet & Telecom,57.144.149.32,32934,IE,"FACEBOOK - Facebook, Inc., US",Hyperscaler
9,cricbuzz.com,Sports,13.235.191.202,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
10,priceoye.pk,Shopping,172.66.148.155,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
11,tiktok.com,Online Communities,23.52.40.25,20940,US,"AKAMAI-ASN1 - Akamai International B.V., NL",CDN
12,pinterest.com,Hobbies & Leisure,151.101.0.84,54113,US,"FASTLY - Fastly, Inc., US",CDN
13,imdb.com,Entertainment,44.215.137.99,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
14,daraz.pk,Shopping,47.246.174.23,45102,US,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",Abroad
15,accuweather.com,Science,23.203.73.247,16625,US,"AKAMAI-AS - Akamai Technologies, Inc., US",CDN
16,hamariweb.com,People & Society,172.66.171.219,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
17,pitc.com.pk,Business & Industrial,163.61.25.12,153561,PK,"PITC1-AS-AP - PITC, PK",Pakistani
18,bisp.gov.pk,Law & Government,188.114.97.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
19,olx.com.pk,Shopping,18.64.141.32,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
20,apple.com,Computers & Electronics,17.253.144.10,714,US,"APPLE-ENGINEERING - Apple Inc., US",Hyperscaler
21,pakwheels.com,Vehicles,172.67.72.209,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
22,zefoy.com,Explicit Content,104.26.0.29,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
23,icc-cricket.com,Sports,52.18.238.83,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
24,canva.com,Computers & Electronics,3.161.104.122,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
25,gsmarena.com,Computers & Electronics,148.251.96.211,24940,DE,"HETZNER-AS - Hetzner Online GmbH, DE",Abroad
26,timeanddate.com,Reference,104.18.21.57,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
27,dvago.pk,Health,188.114.97.6,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
28,whatmobile.com.pk,Computers & Electronics,104.26.11.212,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
29,openai.com,Science,172.64.154.211,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
30,savefrom.net,Internet & Telecom,104.20.20.139,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
31,x.com,Online Communities,162.159.140.229,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
32,skysports.com,Sports,90.216.128.5,5607,GB,"BSKYB-BROADBAND-AS - Sky UK Limited, GB",Abroad
33,scribd.com,Books & Literature,151.101.66.152,54113,US,"FASTLY - Fastly, Inc., US",CDN
34,espn.com,Sports,3.161.104.26,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
35,reddit.com,Online Communities,151.101.129.140,54113,US,"FASTLY - Fastly, Inc., US",CDN
36,service.gov.uk,Law & Government,151.101.192.144,54113,US,"FASTLY - Fastly, Inc., US",CDN
37,linkedin.com,Jobs & Education,130.211.32.14,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
38,tapmad.com,Entertainment,172.66.163.125,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
39,bbc.com,News,151.101.64.81,54113,US,"FASTLY - Fastly, Inc., US",CDN
40,rottentomatoes.com,Entertainment,95.100.110.5,20940,NL,"AKAMAI-ASN1 - Akamai International B.V., NL",CDN
41,sapphireonline.pk,Shopping,64.68.202.16,16686,CA,"EDNS - easyDNS Technologies, Inc., CA",Abroad
42,softonic.com,Computers & Electronics,,,,,resolve-failed
43,urdupoint.com,People & Society,104.26.6.27,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
44,adobe.com,Computers & Electronics,42.99.128.163,4637,JP,"ASN-TELSTRA-GLOBAL - Telstra Global, HK",Abroad
45,movie-box.co,Reference,82.27.188.246,139057,GB,"ELD-AS-AP - Edgenext Legend Dynasty Pte. Ltd., SG",Abroad
46,punjab.gov.pk,Law & Government,103.226.216.120,59323,PK,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",Pakistani
47,ilovepdf.com,Computers & Electronics,172.64.152.170,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
48,speedtest.net,Internet & Telecom,151.101.66.219,54113,US,"FASTLY - Fastly, Inc., US",CDN
49,ssstik.io,Internet & Telecom,172.66.154.244,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
50,marham.pk,Health,104.26.8.204,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
51,primevideo.com,Entertainment,143.204.106.19,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
52,microsoft.com,Computers & Electronics,13.107.246.62,8075,US,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",Hyperscaler
53,psl-t20.com,Sports,162.241.218.136,31898,US,"ORACLE-BMC-31898 - Oracle Corporation, US",Abroad
54,uptodown.com,Computers & Electronics,51.210.117.80,16276,FR,"OVH - OVH SAS, FR",Abroad
55,netflix.com,Entertainment,18.200.8.190,16509,US,"AMAZON-02 - Amazon.com, Inc., US",Abroad
56,pcb.com.pk,Sports,172.67.69.134,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
57,spotify.com,Entertainment,35.186.224.24,396982,US,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",Abroad
58,weather.com,Science,173.222.146.176,16625,US,"AKAMAI-AS - Akamai Technologies, Inc., US",CDN
59,samsung.com,Computers & Electronics,211.45.27.231,6619,KR,"SAMSUNGSDS-AS-KR-KR - SamsungSDS Inc., KR",Abroad
60,amazon.com,Shopping,98.87.170.74,14618,US,"AMAZON-AES - Amazon.com, Inc., US",Abroad
61,remove.bg,Computers & Electronics,104.18.34.156,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
62,fdown.net,Internet & Telecom,104.26.7.202,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
63,clevelandclinic.org,Health,104.18.32.216,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
64,vidmateapp.com,Internet & Telecom,161.117.94.213,45102,SG,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",Abroad
65,sarmaaya.pk,Shopping,104.26.8.60,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
66,pexels.com,Entertainment,104.18.67.220,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
67,poki.com,Games,104.18.144.9,13335,US,"CLOUDFLARENET - Cloudflare, Inc., US",CDN
