domain,ip,asn,as_name,cisa_sector,cdn_brand
cbs.co.kr,61.110.208.141,38107,"CDNETWORKS-AS-KR-KR - CDNetworks, KR",Commercial Facilities,CDNetworks
ibmcloud.com,199.46.34.76,213120,"PROLEXIC-IP-PROTECT - Akamai International B.V., NL",Commercial Facilities,Akamai (Prolexic)
mvking17.org,138.199.46.68,60068,"CDN77 - Datacamp Limited, GB",Commercial Facilities,CDN77
epson.co.id,107.154.251.48,19551,"INCAPSULA - Incapsula Inc, US",Commercial Facilities,Imperva/Incapsula
x365.ai,172.104.170.126,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",Commercial Facilities,Akamai
lawrence.edu,23.185.0.4,54113,"FASTLY - Fastly, Inc., US",Education,Fastly
educationdz.com,172.67.222.20,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Education,Cloudflare
harbaughcoachingacademy.org,84.17.38.227,60068,"CDN77 - Datacamp Limited, GB",Education,CDN77
assessform.edu.au,45.60.232.2,19551,"INCAPSULA - Incapsula Inc, US",Education,Imperva/Incapsula
juniata.edu,23.48.214.92,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Education,Akamai
financeofamerica.com,23.185.0.4,54113,"FASTLY - Fastly, Inc., US",Financial Services,Fastly
capitaltop.org,172.67.161.34,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Financial Services,Cloudflare
creditea.mx,45.223.233.56,19551,"INCAPSULA - Incapsula Inc, US",Financial Services,Imperva/Incapsula
creditonebank.com,23.48.214.79,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Financial Services,Akamai
sportscardinvestor.com,23.185.0.3,54113,"FASTLY - Fastly, Inc., US",Financial Services,Fastly
azores.gov.pt,104.18.9.133,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Government Services & Facilities,Cloudflare
njconsumeraffairs.gov,45.60.170.149,19551,"INCAPSULA - Incapsula Inc, US",Government Services & Facilities,Imperva/Incapsula
agenziaentrateriscossione.gov.it,23.215.5.136,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Government Services & Facilities,Akamai
wgea.gov.au,151.101.2.216,54113,"FASTLY - Fastly, Inc., US",Government Services & Facilities,Fastly
ldtax.gov.bd,188.114.97.6,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Government Services & Facilities,Cloudflare
towerhealth.org,103.41.69.77,213120,"PROLEXIC-IP-PROTECT - Akamai International B.V., NL",Healthcare & Public Health,Akamai (Prolexic)
bluewaterhealthyliving.com,156.146.56.167,60068,"CDN77 - Datacamp Limited, GB",Healthcare & Public Health,CDN77
deltadental.com,107.154.103.35,19551,"INCAPSULA - Incapsula Inc, US",Healthcare & Public Health,Imperva/Incapsula
hospitalitaliano.net,172.234.27.71,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",Healthcare & Public Health,Akamai
glidewelldental.com,151.101.3.10,54113,"FASTLY - Fastly, Inc., US",Healthcare & Public Health,Fastly
aurorasolar.com,162.159.134.42,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Energy,Cloudflare
dominionenergy.com,45.60.233.28,19551,"INCAPSULA - Incapsula Inc, US",Energy,Imperva/Incapsula
scottishpower.co.uk,95.101.38.183,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Energy,Akamai
energymonitor.ai,23.185.0.4,54113,"FASTLY - Fastly, Inc., US",Energy,Fastly
renewableenergymagazine.com,172.67.198.63,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Energy,Cloudflare
ho-mobile.it,45.223.138.71,19551,"INCAPSULA - Incapsula Inc, US",Communications,Imperva/Incapsula
assurancewireless.com,23.205.249.201,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Communications,Akamai
telecomtalk.info,104.26.9.227,13335,"CLOUDFLARENET - Cloudflare, Inc., US",Communications,Cloudflare
lgatelecom.net,45.60.63.39,19551,"INCAPSULA - Incapsula Inc, US",Communications,Imperva/Incapsula
t-mobile.com,23.205.249.201,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Communications,Akamai
airliners.net,151.101.129.91,54113,"FASTLY - Fastly, Inc., US",Transportation Systems,Fastly
groometransportation.com,141.193.213.10,209242,"CLOUDFLARESPECTRUM - Cloudflare London, LLC, US",Transportation Systems,Cloudflare
saudiairlines.com,107.154.215.237,19551,"INCAPSULA - Incapsula Inc, US",Transportation Systems,Imperva/Incapsula
veneziaairport.it,2.17.196.170,20940,"AKAMAI-ASN1 - Akamai International B.V., NL",Transportation Systems,Akamai
mspairport.com,23.185.0.1,54113,"FASTLY - Fastly, Inc., US",Transportation Systems,Fastly
