domain,ip,asn,as_name,netname,reason
adobe.com,139.135.58.73,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
as.com,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
depor.com,182.176.156.16,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
tse.jus.br,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
azarlatino.com.py,182.176.156.17,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
hailuoai.video,182.176.156.16,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
dgt.es,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
showmax.com,182.176.156.16,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
weg.net,182.176.156.11,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
honorofkings.com,72.255.2.12,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",APNIC,resolver-mismatch
vivaia.com,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
mcc.nic.in,182.176.156.8,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
navegg.com,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
kinepolis.nl,182.176.156.9,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
trome.com,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
admiralmarkets.com,182.176.156.10,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCLBB-PK,residential-netname
