website,hosting,isp_cdn,rank,cisa_sector
mgacs.com.pk,Pakistani,Connect Communication,215983,Commercial Facilities
gnnhd.tv,Pakistani,Gourmet Foods,649145,Commercial Facilities
sparkbroadband.pk,Pakistani,Logon Broadband Pvt. Limited,272378,Commercial Facilities
zcomnetworks.com.pk,Pakistani,Z COM NETWORKS,326580,Commercial Facilities
kknetworks.com.pk,Pakistani,KK Networks (Pvt) Ltd.,252690,Commercial Facilities
worldlinkisp.pk,Pakistani,Wateen Telecom Limited,842392,Commercial Facilities
logon.com.pk,Pakistani,Logon Broadband Pvt. Limited,158595,Commercial Facilities
trax.pk,Pakistani,Mobilink GSM,835562,Commercial Facilities
toptop.net,Pakistani,Gerrys Information Technology (PVT) Ltd,17707,Commercial Facilities
sonic.pk,Pakistani,Mobilink GSM,209691,Commercial Facilities
phf.gop.pk,Pakistani,Punjab Information Technology Board,815868,Commercial Facilities
psca.gop.pk,Pakistani,Punjab Safe City Authority,71839,Commercial Facilities
youth.cn,Pakistani,Gerrys Information Technology (PVT) Ltd,13948,Commercial Facilities
excise.gos.pk,Pakistani,Pakistan Telecommuication company limited,93557,Commercial Facilities
enc.com.pk,Pakistani,PITC,778620,Commercial Facilities
dunyanews.tv,Pakistani,Multinet Broadband,61597,Commercial Facilities
urdu.dunyanews.tv,Pakistani,Multinet Broadband,,Commercial Facilities
dgcs.gos.pk,Pakistani,Punjab Information Technology Board,723900,Commercial Facilities
hrd1902.com.pk,Pakistani,HEC,215205,Commercial Facilities
tevta.gop.pk,Pakistani,ITI Karachi Multinet,833024,Commercial Facilities
careers635.com.pk,Pakistani,Pakistan Telecommuication company limited,904351,Commercial Facilities
cxtreme.pk,Pakistani,Cyber Internet Services (Private) Limited,94090,Commercial Facilities
networld.pk,Pakistani,Fariya Networks 150,284271,Commercial Facilities
digiskills.pk,Pakistani,HEC,79267,Commercial Facilities
wbm.com.pk,CDN,Cloudflare,684068,Commercial Facilities
sarazcollection.pk,CDN,Cloudflare,824191,Commercial Facilities
historicalpoint.pk,CDN,Cloudflare,788763,Commercial Facilities
pinkpetals.pk,CDN,Cloudflare,816265,Commercial Facilities
urbanbeauty.pk,CDN,Cloudflare,704376,Commercial Facilities
mepcoebillcheck.pk,CDN,Cloudflare,454617,Commercial Facilities
burgeroclock.com.pk,CDN,Cloudflare,766936,Commercial Facilities
meerzah.pk,CDN,Cloudflare,539684,Commercial Facilities
auroracloset.pk,CDN,Cloudflare,761376,Commercial Facilities
vidmateapp.com.pk,CDN,Cloudflare,839505,Commercial Facilities
reading.pk,CDN,Cloudflare,950343,Commercial Facilities
thefrontierpost.com,CDN,Cloudflare,312904,Commercial Facilities
zing.pk,CDN,Cloudflare,845380,Commercial Facilities
zarajahan.pk,CDN,Cloudflare,923506,Commercial Facilities
dogar.com.pk,CDN,Cloudflare,503389,Commercial Facilities
pesconlinebill.pk,CDN,Cloudflare,815491,Commercial Facilities
businesslist.pk,CDN,Cloudflare,458568,Commercial Facilities
skyscanner.pk,CDN,AWS,183620,Commercial Facilities
honda.com.pk,CDN,Cloudflare,465788,Commercial Facilities
apkamazon.com.pk,CDN,Cloudflare,759681,Commercial Facilities
digikhata.pk,CDN,Cloudflare,853045,Commercial Facilities
supermeal.pk,CDN,Microsoft/Azure,174089,Commercial Facilities
motifz.com.pk,CDN,Cloudflare,180276,Commercial Facilities
logoofficial.com,CDN,Cloudflare,91746,Commercial Facilities
hopkicks.pk,Abroad,Hetzner Online GmbH (FI),560636,Commercial Facilities
pgf.com.pk,Abroad,SoftLayer (US),549696,Commercial Facilities
scouted-today.pk,Abroad,Ddos-guard LTD (RU),452746,Commercial Facilities
enic.pk,Abroad,WHG Hosting Services Ltd (SG),392622,Commercial Facilities
588wingames.pk,Abroad,Namecheap  Inc. (US),900729,Commercial Facilities
insta.com.pk,Abroad,Interserver  Inc (US),909638,Commercial Facilities
publicnews.com,Abroad,Hetzner Online GmbH (FI),,Commercial Facilities
777sxgameapp.pk,Abroad,Namecheap  Inc. (US),754381,Commercial Facilities
pessi.gop.pk,Abroad,OVH SAS (GB),815504,Commercial Facilities
hostpro.com.pk,Abroad,WHG Hosting Services Ltd (SG),733597,Commercial Facilities
apkzone.pk,Abroad,Hetzner Online GmbH (DE),557726,Commercial Facilities
nawaiwaqt.com.pk,Abroad,Hetzner Online GmbH (FI),294028,Commercial Facilities
topcity-1.com,Pakistani,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",,Communications
galaxy.net.pk,Pakistani,Galaxy Broadband (pvt.) Ltd.,393636,Communications
gbn.net.pk,Pakistani,Gemnet Enterprise Solutions Pvt Ltd,784286,Communications
idc.net.pk,CDN,Google,727218,Communications
glory-casino.net.pk,CDN,Cloudflare,121930,Communications
wancom.net.pk,CDN,Cloudflare,173018,Communications
en.dailypakistan.com.pk,Abroad,"LEASEWEB-DE-FRA-10 - Leaseweb Deutschland GmbH, DE",,Communications
