domain,ip,asn,as_name,netname,second_check
vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",WATEEN-TEL,agree
aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",APNIC,agree
punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree
weboc.gov.pk,175.107.219.203,24440,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",CYBERNET,agree
psca.gop.pk,103.119.125.20,138019,"PSCA-AS-AP - Punjab Safe City Authority, PK",PSCA-PK,agree
cyber.net.pk,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree
ntc.net.pk,203.101.184.82,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree
pu.edu.pk,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
zong.com.pk,209.150.154.189,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",APNIC,agree
connect.net.pk,115.42.65.248,132165,"CONNECT-AS-AP - Connect Communications, PK",CONNECT,agree
hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
gerrys.net,202.69.33.8,23750,"GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY PVT LTD., PK",GERRYSNET,agree
ppsc.gop.pk,103.111.161.187,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree
mora.gov.pk,43.250.84.202,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",FBR-PK,agree
mofa.gov.pk,43.250.84.145,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
pitb.gov.pk,103.226.216.151,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree
cpsp.edu.pk,111.68.111.15,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
lums.edu.pk,110.93.234.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree
tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",Mobilink-Services,agree
pta.gov.pk,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
chametw.com,111.119.162.220,132165,"CONNECT-AS-AP - Connect Communications, PK",CONNECT,agree
iub.edu.pk,121.52.159.138,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
digiskills.pk,58.27.231.139,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",WATEEN-TEL,agree
dgip.gov.pk,43.250.84.159,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
punjab-zameen.gov.pk,160.22.38.22,152890,"PLRA-AS-AP - Punjab Land Records Authority, PK",APNIC,agree
fpsc.gov.pk,43.250.84.65,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
kp.gov.pk,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree
njp.gov.pk,175.107.60.230,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
kpese.gov.pk,175.107.63.111,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
ep.gov.pk,124.109.52.82,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree
stormfiber.com,203.101.172.139,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree
epads.gov.pk,59.103.225.210,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree
cinepax.com,103.249.155.209,17539,"ASN-NCKHI-AP - NetSol Connect, PK",NETSOL-AP,agree
excise.gos.pk,59.103.225.21,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,no-answer
cll.com.pk,125.209.70.164,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree
cxtreme.pk,203.101.172.157,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree
dmasti.pk,103.24.96.62,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",EBONE1-PK,agree
pefsis.edu.pk,119.159.228.205,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree
sims.pk,115.186.173.250,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree
uaf.edu.pk,203.124.33.162,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree
iqra.edu.pk,103.138.162.150,139024,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",IQRAUNIVERSITY-PK,agree
pmdc.pk,175.107.60.117,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree
pshealthpunjab.gov.pk,116.58.20.78,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree
comsats.net.pk,210.56.11.242,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree
gepco.com.pk,163.61.25.23,153561,"PITC1-AS-AP - PITC, PK",PITC1-PK,agree
ebonenet.com,103.24.96.102,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",EBONE1-PK,agree
etea.edu.pk,115.167.74.9,38547,"WITRIBE-AS-AP - WITRIBE PAKISTAN LIMITED, PK",SHARP-TELECOM-PVT-LTD,agree
cuecinemas.com,202.141.242.194,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree
iulms.edu.pk,103.138.162.35,139024,"IQRAUNIVERSITY-AS-AP - Iqra University, PK",IQRAUNIVERSITY-PK,agree
mes.gov.pk,210.56.8.62,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree
sts.org.pk,103.152.255.113,135523,"MULTINET-IE-AS-AP - Multinet Broadband, PK",NEXUS-PK,agree
universalcinemas.com,103.69.111.99,23966,"LDN-AS-PK - LINKdotNET Telecom Limited, PK",NHPL-PK,agree
pesrp.edu.pk,116.58.56.30,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree
kohat.edu.pk,121.52.146.165,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
bbise.edu.pk,58.27.241.186,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",WATEEN-TEL,agree
nexlinx.net.pk,202.59.80.26,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree
comsats.edu.pk,210.56.11.242,7590,"COMSATS - Commission on Science and Technology for, PK",COMSATS,agree
numl.edu.pk,111.68.97.117,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,no-answer
vidfree.net,160.250.115.204,137047,"TATMPL-AS-AP - TELECOMMUNICATION AND TECHNOLOGY MASTERS (PVT.) LIMITED, PK",APNIC-ERX-160-233-0-0,agree
magsnet.net,202.5.128.24,20119,"ARROW - Arrow Group Inc., CA",XODEUS,agree
sco.gov.pk,118.107.140.9,18053,"SNET-AS-AP - Special Communication Organization, PK",SNET-PK,agree
jazzdsp.com,119.160.105.35,58470,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Jazz-North,agree
bahria.edu.pk,111.68.99.6,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree
jazztv.pk,119.160.13.28,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",Mobilink-Services,agree
multi.net.pk,202.141.239.210,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree
ptcl.com.pk,221.120.226.61,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree
ufone.com,59.103.225.37,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree
sonic.pk,119.160.105.77,58470,"Mobilink-Peering-AS-PK - IX Peering for Mobilink and Link Direct International., PK",Jazz-North,agree
dunya.com.pk,117.20.18.153,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree
careerjobs2381.com.pk,110.93.207.74,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree
sindhzameen.gos.pk,202.83.173.42,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCPKNET,agree
upaisa.com,59.103.236.34,17557,"PKTELECOM-AS-PK - Pakistan Telecommunication Company Limited, PK",PTCL,agree
psw.gov.pk,165.99.181.23,153932,"PSW-AS-AP - Pakistan Single Window, PK",APNIC-ERX-165-99-0-0,agree
bnu.edu.pk,175.111.3.156,24435,"SUPERNET-PAKISTAN-AS-AP - Supernet Limited Transit Autonomous System Number, PK",SUPER-PK,agree
nwnetworks.net.pk,110.93.213.3,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree
