tranco_rank,domain,ip,asn,as_name,netname,second_check,in_pass1
10918,vu.edu.pk,58.27.231.136,38264,"WATEEN-IMS-PK-AS-AP - National WiMAX/IMS environment, PK",WATEEN-TEL,agree,no
13428,aiou.edu.pk,45.64.25.46,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",APNIC,agree,no
15755,punjab.gov.pk,103.226.216.120,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree,no
22523,weboc.gov.pk,175.107.219.203,24440,"CYBERNET-APII - Cyber Internet Services Pakistan, PK",CYBERNET,agree,yes
27376,cyber.net.pk,203.101.172.72,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree,yes
29528,ntc.net.pk,203.101.184.82,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree,yes
34716,pu.edu.pk,111.68.103.27,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,no
36984,zong.com.pk,209.150.154.189,59257,"CMPAKLIMITED-AS-AP - CMPak Limited, PK",APNIC,agree,yes
41417,connect.net.pk,115.42.65.248,132165,"CONNECT-AS-AP - Connect Communications, PK",CONNECT,agree,no
42527,hec.gov.pk,111.68.100.163,45773,"HECPERN-AS-PK - PERN AS Content Servie Provider, Islamabad, Pakistan, PK",PERN-PK,agree,no
44989,gerrys.net,202.69.33.8,23750,"GERRYS-AS-AP - GERRYS INFORMATION TECHNOLOGY PVT LTD., PK",GERRYSNET,agree,yes
45910,ppsc.gop.pk,103.111.161.187,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree,no
46140,mora.gov.pk,43.250.84.202,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
46414,fbr.gov.pk,103.125.60.60,138424,"FBR-AS-AP - Federal Board of Revenue, PK",FBR-PK,agree,yes
51184,mofa.gov.pk,43.250.84.145,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,no
51622,pitb.gov.pk,103.226.216.151,59323,"PITB-PUNJAB-PK - Punjab Information Technology Board, PK",PITB-PUNJAB-PK,agree,no
55995,lums.edu.pk,110.93.234.24,38193,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",TWA,agree,no
58607,tamashaweb.com,119.160.12.44,45669,"Mobilink-AS-PK - PMCL /LDI IP TRANSIT, PK",Mobilink-Services,agree,no
59492,pta.gov.pk,175.107.60.231,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
65058,chametw.com,111.119.162.220,132165,"CONNECT-AS-AP - Connect Communications, PK",CONNECT,agree,yes
78310,dgip.gov.pk,43.250.84.159,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,no
79412,punjab-zameen.gov.pk,160.22.38.22,152890,"PLRA-AS-AP - Punjab Land Records Authority, PK",APNIC,agree,yes
80044,fpsc.gov.pk,43.250.84.65,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
80912,kp.gov.pk,175.107.63.150,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
80932,lesco.gov.pk,116.58.54.125,17563,"NEXLINX-AS-AP - Autonomous System Number for Nexlinx, PK",NEXLINX-AP,agree,no
84230,njp.gov.pk,175.107.60.230,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
84512,kpese.gov.pk,175.107.63.111,23888,"NTC-AS-AP - National Telecommunication Corporation HQ,, PK",NTCISP-PK,agree,yes
86688,ep.gov.pk,124.109.52.82,23674,"NAYATEL-PK - Nayatel (Pvt) Ltd, PK",NAYATEL-PK,agree,no
87628,stormfiber.com,203.101.172.139,9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET,agree,yes
90901,cinepax.com,103.249.155.209,17539,"ASN-NCKHI-AP - NetSol Connect, PK",NETSOL-AP,agree,yes
92344,cll.com.pk,125.209.70.164,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",MULTINETPAKISTAN,agree,no
92476,dmasti.pk,103.24.96.62,58895,"EBONE1-PK - Ebone Network (PVT.) Limited, PK",EBONE1-PK,agree,no
