sector,tranco_rank,domain,network,city,pick_rule
Commercial Facilities,58607,tamashaweb.com,Mobilink-AS-PK,Shahpur Chakar,all in sector
Commercial Facilities,90901,cinepax.com,ASN-NCKHI-AP,Karachi,all in sector
Commercial Facilities,109213,cuecinemas.com,MULTINET-AS-AP,Karachi,all in sector
Commercial Facilities,109816,universalcinemas.com,LDN-AS-PK,Lahore,all in sector
Healthcare & Public Health,92344,cll.com.pk,MULTINET-AS-AP,Karachi,all in sector
Healthcare & Public Health,102122,pmdc.pk,NTC-AS-AP,Islamabad,all in sector
Healthcare & Public Health,102355,pshealthpunjab.gov.pk,NEXLINX-AS-AP,Lahore,all in sector
Energy,80932,lesco.gov.pk,NEXLINX-AS-AP,Lahore,all in sector
Energy,105072,gepco.com.pk,PITC1-AS-AP,Lahore,all in sector
Transportation Systems,86688,ep.gov.pk,NAYATEL-PK,Islamabad,all in sector
Communications,27376,cyber.net.pk,CYBERNET-AP,Karachi,top 5 by Tranco rank
Communications,29528,ntc.net.pk,CYBERNET-AP,Lahore,top 5 by Tranco rank
Communications,36984,zong.com.pk,CMPAKLIMITED-AS-AP,Islamabad,top 5 by Tranco rank
Communications,41417,connect.net.pk,CONNECT-AS-AP,Karachi,top 5 by Tranco rank
Communications,44989,gerrys.net,GERRYS-AS-AP,Karachi,top 5 by Tranco rank
Government Services & Facilities,15755,punjab.gov.pk,PITB-PUNJAB-PK,Lahore,top 5 by Tranco rank
Government Services & Facilities,22523,weboc.gov.pk,CYBERNET-APII,Karachi,top 5 by Tranco rank
Government Services & Facilities,45910,ppsc.gop.pk,PITB-PUNJAB-PK,Lahore,top 5 by Tranco rank
Government Services & Facilities,46140,mora.gov.pk,NTC-AS-AP,Islamabad,top 5 by Tranco rank
Government Services & Facilities,46414,fbr.gov.pk,FBR-AS-AP,Islamabad,top 5 by Tranco rank
Education,10918,vu.edu.pk,WATEEN-IMS-PK-AS-AP,Lahore,top 5 by Tranco rank
Education,13428,aiou.edu.pk,HECPERN-AS-PK,Islamabad,top 5 by Tranco rank
Education,34716,pu.edu.pk,HECPERN-AS-PK,Lahore,top 5 by Tranco rank
Education,42527,hec.gov.pk,HECPERN-AS-PK,Islamabad,top 5 by Tranco rank
Education,55995,lums.edu.pk,TWA-AS-AP,Model Town,top 5 by Tranco rank
Education,84512,kpese.gov.pk,NTC-AS-AP,Rawalpindi,6th by Tranco rank (extra slot)
