website,hosting,isp_cdn,rank,cisa_sector
jazz.com.pk,CDN,Cloudflare,43844,Communications
telenor.com,CDN,Microsoft/Azure,110575,Communications
ufone.com,Pakistani,Pakistan Telecommuication company limited,150410,Communications
zong.com.pk,Pakistani,ESS,39944,Communications
ptcl.com.pk,Pakistani,Pakistan Telecommunication Company Limited,157665,Communications
sims.pk,Pakistani,Nayatel (Pvt) Ltd,95473,Communications
ptclflashfiber.com,Pakistani,Pakistan Telecommunication Company Limited,818899,Communications
aa-networks.net,Abroad,Leaseweb NL (NL),,Communications
alpinepk.net,Abroad,Namecheap  Inc. (NL),,Communications
amazonfiber.com.pk,Abroad,FranTech Solutions (LU),,Communications
anatel.com.pk,Abroad,HOSTINGER IN (IN),,Communications
ascontel.net,Abroad,IONOS SE (US),,Communications
nayatel.com,Pakistani,Nayatel (Pvt) Ltd,47880,Communications
cyber.net.pk,Pakistani,Cyber Internet Services (Private) Limited,28243,Communications
wateen.com,Abroad,HOSTINGER ID (ID),217891,Communications
multinet.com.pk,Pakistani,Multinet Broadband,,Communications
ebonenet.com,Pakistani,Ebone Network (Pvt) Ltd,107805,Communications
nexlinx.net.pk,Pakistani,Nexlinx,139438,Communications
transworld.com.pk,Abroad,Namecheap  Inc. (US),,Communications
super.net.pk,Pakistani,Supernet 1,221980,Communications
ntc.net.pk,Pakistani,Cyber Internet Services (Private) Limited,28360,Communications
wancom.net.pk,CDN,Cloudflare,173018,Communications
telenor.com.pk,CDN,Cloudflare,219081,Communications
fesco.com.pk,Pakistani,PITC,580385,Energy
gepco.com.pk,Pakistani,PITC,203453,Energy
hazeco.com.pk,Abroad,Contabo GmbH (FR),,Energy
hesco.gov.pk,Pakistani,PITC,788359,Energy
iesco.com.pk,Pakistani,CIS Islamabad,226466,Energy
lesco.gov.pk,Pakistani,Nexlinx,183747,Energy
mepco.com.pk,Pakistani,PITC,,Energy
pesco.com.pk,CDN,Cloudflare,,Energy
qesco.com.pk,Pakistani,PITC,,Energy
sepco.com.pk,Pakistani,PITC,,Energy
ke.com.pk,Abroad,ManagedWay (US),173002,Energy
merafm.com,Abroad,InMotion Hosting  Inc. (US),,Commercial Facilities
dailyintekhab.pk,Abroad,Contabo GmbH (GB),,Commercial Facilities
global.ptv.com.pk,CDN,Cloudflare,,Commercial Facilities
dailyibrat.com,Abroad,netcup GmbH (AT),,Commercial Facilities
cityfm89.com,CDN,Cloudflare,,Commercial Facilities
mashriqtv.pk,CDN,Cloudflare,470836,Commercial Facilities
ummat.net,CDN,Cloudflare,83530,Commercial Facilities
jasarat.com,CDN,Google,495548,Commercial Facilities
herald.dawn.com,CDN,Cloudflare,,Commercial Facilities
dailykhabrain.com.pk,Abroad,Hostinger International Limited (LT),152967,Commercial Facilities
thefrontierpost.com,CDN,Cloudflare,312904,Commercial Facilities
thefridaytimes.com,Abroad,Hetzner Online GmbH (FI),158809,Commercial Facilities
a-sports.tv,CDN,Cloudflare,335412,Commercial Facilities
dunya.com.pk,Pakistani,TW OBJ,160441,Commercial Facilities
geosuper.tv,CDN,Cloudflare,291513,Commercial Facilities
nation.com.pk,Abroad,Hetzner Online GmbH (FI),39646,Commercial Facilities
pakistantoday.com.pk,CDN,Cloudflare,35891,Commercial Facilities
dailypakistan.com.pk,Abroad,Hetzner Online GmbH (FI),51303,Commercial Facilities
aaj.tv,CDN,Cloudflare,134524,Commercial Facilities
urdupoint.com,CDN,Cloudflare,31689,Commercial Facilities
thenews.com.pk,CDN,Cloudflare,18680,Commercial Facilities
brecorder.com,CDN,Cloudflare,31890,Commercial Facilities
jang.com.pk,CDN,Cloudflare,8110,Commercial Facilities
dailytimes.com.pk,CDN,Cloudflare,34553,Commercial Facilities
tribune.com.pk,CDN,Cloudflare,13272,Commercial Facilities
dawn.com,CDN,Cloudflare,6556,Commercial Facilities
enews.hamariweb.com,CDN,Cloudflare,,Commercial Facilities
bolnews.com,CDN,Cloudflare,147256,Commercial Facilities
express.pk,CDN,Cloudflare,58206,Commercial Facilities
pakshowbiz.com,Abroad,Oracle Corporation (US),,Commercial Facilities
emeatribune.com,CDN,AWS,,Commercial Facilities
awamiweb.com,Abroad,Hostinger International Limited (LT),,Commercial Facilities
chitraltimes.com,CDN,Cloudflare,,Commercial Facilities
thefinancialdaily.com,CDN,Cloudflare,,Commercial Facilities
dailythepatriot.com,Abroad,HOSTINGER IN (IN),,Commercial Facilities
lhrtimes.com,Abroad,Hetzner Online GmbH (FI),,Commercial Facilities
urdu.geo.tv,CDN,Cloudflare,,Commercial Facilities
dailyqudrat.pk,CDN,Cloudflare,656948,Commercial Facilities
urdu.nayadaur.tv,Abroad,Hetzner Online GmbH (FI),,Commercial Facilities
yesurdu.com,Abroad,O2switch Sarl (FR),,Commercial Facilities
bolnewsurdu.com,Abroad,Hetzner Online GmbH (DE),,Commercial Facilities
arynews.tv,CDN,Cloudflare,32521,Commercial Facilities
independenturdu.com,CDN,Cloudflare,467638,Commercial Facilities
urdu.dunyanews.tv,Pakistani,Multinet Broadband,,Commercial Facilities
24urdu.com,Abroad,Hetzner Online GmbH (FI),697992,Commercial Facilities
dailyausaf.com,CDN,Cloudflare,357591,Commercial Facilities
pni.net.pk,CDN,Cloudflare,,Commercial Facilities
urdu.92newshd.tv,CDN,Cloudflare,,Commercial Facilities
naibaat.pk,Abroad,Hetzner Online GmbH (FI),590461,Commercial Facilities
pakistanchristianpost.com,Abroad,Hetzner Online GmbH (DE),,Commercial Facilities
paktribune.com,CDN,Cloudflare,428884,Commercial Facilities
pakistangulfeconomist.com,Abroad,Hostinger International Limited (LT),,Commercial Facilities
dunyanews.tv,Pakistani,Multinet Broadband,61597,Commercial Facilities
pakistanlink.org,Abroad,WEBSITEWELCOME.COM (US),,Commercial Facilities
arabnews.pk,CDN,Cloudflare,115337,Commercial Facilities
92newshd.tv,CDN,Cloudflare,864165,Commercial Facilities
thecurrent.pk,CDN,Cloudflare,,Commercial Facilities
propakistani.pk,CDN,Cloudflare,39209,Commercial Facilities
journalismpakistan.com,CDN,Cloudflare,892110,Commercial Facilities
inp.net.pk,Abroad,Hetzner Online GmbH (FI),965563,Commercial Facilities
dailynewspk.com,CDN,AWS,,Commercial Facilities
gnnhd.tv,Pakistani,Gourmet Foods,649145,Commercial Facilities
dawnnews.tv,CDN,Cloudflare,380879,Commercial Facilities
customnews.pk,Abroad,InMotion Hosting  Inc. (US),,Commercial Facilities
