# Pakistani Websites — Measurement Target List
# Compiled June 2026 for RIPE Atlas routing study
# Format: hostname, label, category
# ---------------------------------------------------

# ── GOVERNMENT ──────────────────────────────────────
pakistan.gov.pk,Pakistan Govt Portal,government
punjab.gov.pk,Punjab Govt,government
sindh.gov.pk,Sindh Govt,government
kp.gov.pk,KPK Govt,government
balochistan.gov.pk,Balochistan Govt,government
pta.gov.pk,PTA,government
fbr.gov.pk,FBR,government
nadra.gov.pk,NADRA,government
hec.gov.pk,HEC,government
secp.gov.pk,SECP,government
sbp.org.pk,State Bank of Pakistan,government
pitc.com.pk,PITC,government
pseb.org.pk,PSEB,government
bisp.gov.pk,BISP,government
moitt.gov.pk,Ministry of IT,government
pbs.gov.pk,Pakistan Bureau of Statistics,government
railways.gov.pk,Pakistan Railways,government
pid.gov.pk,Press Information Dept,government
nltpk.gov.pk,NLT,government
nlc.com.pk,National Logistics Cell,government

# ── NEWS & MEDIA ─────────────────────────────────────
dawn.com,Dawn News,news
geo.tv,Geo TV,news
arynews.tv,ARY News,news
dunyanews.tv,Dunya News,news
hamariweb.com,HamariWeb,news
jang.com.pk,Jang News,news
thenews.com.pk,The News,news
express.com.pk,Express Tribune,news
bolnews.com,Bol News,news
samaadigital.com,Samaa TV,news
propakistani.pk,ProPakistani,news
tribune.com.pk,Tribune,news
24newshd.tv,24 News HD,news
such.tv,Such TV,news
urdupoint.com,UrduPoint,news
nawaiwaqt.com.pk,Nawa-i-Waqt,news
dailypakistan.com.pk,Daily Pakistan,news
businessrecorder.com,Business Recorder,news

# ── BANKING & FINTECH ────────────────────────────────
hbl.com,HBL Bank,banking
mcb.com.pk,MCB Bank,banking
ubldigital.com,UBL Digital,banking
bankalfalah.com,Bank Alfalah,banking
bankislami.com.pk,Bank Islami,banking
meezanbank.com,Meezan Bank,banking
askaribank.com.pk,Askari Bank,banking
jazzcash.com.pk,JazzCash,banking
easypaisa.com.pk,EasyPaisa,banking
nayapay.com,NayaPay,banking
sadapay.com,SadaPay,banking
1bill.com.pk,1Bill,banking
faysal.com,Faysal Bank,banking
habibmetro.com,Habib Metro,banking

# ── E-COMMERCE ───────────────────────────────────────
daraz.pk,Daraz,ecommerce
olx.com.pk,OLX Pakistan,ecommerce
pakwheels.com,PakWheels,ecommerce
priceoye.pk,PriceOye,ecommerce
shophive.com,ShopHive,ecommerce
symbios.pk,Symbios,ecommerce
goto.com.pk,GoTo,ecommerce
telemart.pk,Telemart,ecommerce
ishopping.pk,iShopping,ecommerce
alfatah.com.pk,Al-Fatah,ecommerce
sapphireonline.pk,Sapphire Online,ecommerce
khaadi.com,Khaadi,ecommerce
gulahmedshop.com,Gul Ahmed,ecommerce
outfitters.com.pk,Outfitters,ecommerce
sargodha.com,Sargodha.com,ecommerce

# ── TELECOM ──────────────────────────────────────────
ptcl.com.pk,PTCL,telecom
jazz.com.pk,Jazz,telecom
telenor.com.pk,Telenor Pakistan,telecom
zong.com.pk,Zong,telecom
nayatel.com,Nayatel,telecom
stormfiber.com,StormFiber,telecom
wateen.com,Wateen,telecom
brain.net.pk,Brain Telecom,telecom
nexlinx.net.pk,Nexlinx,telecom
supernet.com.pk,Supernet,telecom

# ── EDUCATION ────────────────────────────────────────
lums.edu.pk,LUMS,education
nust.edu.pk,NUST,education
pu.edu.pk,Punjab University,education
uet.edu.pk,UET Lahore,education
aku.edu,Aga Khan University,education
comsats.edu.pk,COMSATS,education
iba.edu.pk,IBA Karachi,education
pucit.edu.pk,PUCIT,education
ilmkidunya.com,IlmKiDunya,education
rozee.pk,Rozee.pk Jobs,education
taleem360.com,Taleem 360,education
taleemabad.com,Taleemabad,education

# ── REAL ESTATE ──────────────────────────────────────
zameen.com,Zameen,real_estate
lamudi.pk,Lamudi Pakistan,real_estate
gharbaar.com,GharBaar,real_estate

# ── HEALTH ───────────────────────────────────────────
shifa.com.pk,Shifa Hospital,health
sehat.com.pk,Sehat.com.pk,health
oladoc.com,OlaDoc,health
dawaaidawa.com,Dawaayi,health

# ── FOOD & DELIVERY ──────────────────────────────────
foodpanda.pk,FoodPanda Pakistan,food
cheetay.pk,Cheetay,food
bykea.com,Bykea,food

# ── ENTERTAINMENT ────────────────────────────────────
hum.tv,Hum TV,entertainment
aplus.tv,A Plus TV,entertainment
dramas.online,Dramas Online,entertainment
paktv.tv,Pak TV,entertainment
